U,q_over_pi,best_model,mu,delta_minus_cusp_AICc,smooth_minus_cusp_AICc
0,0.1666666666666666,fractional_cusp,0.328860,14.565253,14.126202
0,0.3333333333333333,fractional_cusp,0.300273,10.158643,1.859041
0,0.5,fractional_cusp,0.293611,10.174497,2.272841
0,0.6666666666666666,smooth_continuum,0.316540,8.453068,-2.041235
0,0.8333333333333334,smooth_continuum,0.346805,8.071576,-1.482454
0,1.0,fractional_cusp,0.360134,8.974025,2.415183
8,0.1666666666666666,fractional_cusp,0.487143,10.524643,18.509173
8,0.3333333333333333,fractional_cusp,0.529577,16.167139,29.765620
8,0.5,fractional_cusp,0.494727,12.279366,19.890026
8,0.6666666666666666,fractional_cusp,0.505883,12.523294,21.253682
8,0.8333333333333334,fractional_cusp,0.480468,10.076503,14.451202
8,1.0,fractional_cusp,0.482291,10.176983,15.039645
