stage,seed,negative_class,metric,score,direct_edge,mechanism,T_iso,T_floor,T_pers
confirmatory,10000,independent_noise,correlon_v1,0.0,False,independent_noise,-0.02254123579981193,-0.0466976489949016,-0.008169385917005278
confirmatory,10000,independent_noise,pearson,0.06360890417891298,False,independent_noise,,,
confirmatory,10000,independent_noise,mutual_information,0.01248022075753541,False,independent_noise,,,
confirmatory,10000,independent_noise,largest_covariance_eigenvalue,1.365847004869663,False,independent_noise,,,
confirmatory,10000,independent_noise,pca_rank1_explained_variance,0.11382058373913854,False,independent_noise,,,
confirmatory,10000,independent_noise,spectral_coherence,0.18465936689845092,False,independent_noise,,,
confirmatory,10000,independent_noise,autocorrelation_persistence,0.6735921587128288,False,independent_noise,,,
confirmatory,10000,independent_noise,linear_CKA,0.02378017915505251,False,independent_noise,,,
confirmatory,10000,independent_noise,VAR_ARX_predictive,0.03244164009452721,False,independent_noise,,,
confirmatory,10000,common_driver,correlon_v1,0.5004561306066224,False,latent_AR1_common_driver,0.30435488407633826,0.8229088861900218,0.5913105535238927
confirmatory,10000,common_driver,pearson,0.35693030934713244,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,mutual_information,0.1057058171235773,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,largest_covariance_eigenvalue,4.775784398107513,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,pca_rank1_explained_variance,0.39798203317562614,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,spectral_coherence,0.23343152746189746,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,autocorrelation_persistence,0.68768850800861,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,linear_CKA,0.483532707353946,False,latent_AR1_common_driver,,,
confirmatory,10000,common_driver,VAR_ARX_predictive,0.04579061090620368,False,latent_AR1_common_driver,,,
confirmatory,10000,matched_low_rank,correlon_v1,0.6560133500853538,False,iid_rank1_common_factor,0.45073123464019726,0.9547896449504877,0.665079408227609
confirmatory,10000,matched_low_rank,pearson,0.3126372116488467,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,mutual_information,0.0814552320605545,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,largest_covariance_eigenvalue,4.3299043451961685,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,pca_rank1_explained_variance,0.3608253620996808,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,spectral_coherence,0.5627510582292407,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,autocorrelation_persistence,0.031116102722686237,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,linear_CKA,0.400638179384277,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_low_rank,VAR_ARX_predictive,0.03618590504668451,False,iid_rank1_common_factor,,,
confirmatory,10000,matched_spectrum,correlon_v1,0.042454720810150365,False,independent_phase_randomized_target_spectra,0.01678123005100446,0.10740591205708008,0.038682508159079754
confirmatory,10000,matched_spectrum,pearson,0.05148661527959431,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,mutual_information,0.007914006533443096,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,largest_covariance_eigenvalue,1.2836493489845813,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,pca_rank1_explained_variance,0.10697077908204844,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,spectral_coherence,0.14177992142119272,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,autocorrelation_persistence,0.6072502934035684,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,linear_CKA,0.015718697917203275,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_spectrum,VAR_ARX_predictive,0.035967594755268284,False,independent_phase_randomized_target_spectra,,,
confirmatory,10000,matched_autocorrelation,correlon_v1,0.0,False,separate_VAR1_autocorrelation_match,0.0034620798552841975,-0.06135072648761655,0.007516977309073747
confirmatory,10000,matched_autocorrelation,pearson,0.06931264083751515,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,mutual_information,0.013638024787644865,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,largest_covariance_eigenvalue,1.7211793225089016,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,pca_rank1_explained_variance,0.1434316102090752,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,spectral_coherence,0.14695358113518484,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,autocorrelation_persistence,0.6067455156290973,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,linear_CKA,0.026576731735177533,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,matched_autocorrelation,VAR_ARX_predictive,0.03138389480630671,False,separate_VAR1_autocorrelation_match,,,
confirmatory,10000,switching_mode,correlon_v1,0.0,False,switching_direct_edge,0.00381752104143257,-0.01579121771114092,-0.02890729693677241
confirmatory,10000,switching_mode,pearson,0.06457929665488474,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,mutual_information,0.012105625147421528,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,largest_covariance_eigenvalue,1.4551920278231487,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,pca_rank1_explained_variance,0.12126600231859569,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,spectral_coherence,0.16863411950155363,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,autocorrelation_persistence,0.6273136828127633,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,linear_CKA,0.02427362254868186,False,switching_direct_edge,,,
confirmatory,10000,switching_mode,VAR_ARX_predictive,0.043914361737177166,False,switching_direct_edge,,,
confirmatory,10000,transient_mode,correlon_v1,0.0,False,transient_direct_edge,0.03398435146126588,-0.046191075093229325,0.05339276501191259
confirmatory,10000,transient_mode,pearson,0.07796474221874122,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,mutual_information,0.016554575888324763,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,largest_covariance_eigenvalue,1.5142659312808577,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,pca_rank1_explained_variance,0.1261888276067381,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,spectral_coherence,0.12729730152995508,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,autocorrelation_persistence,0.6041616150591959,False,transient_direct_edge,,,
confirmatory,10000,transient_mode,linear_CKA,0.035725321815331126,False,transient_direct_edge,,,
