seed,negative_class,P,D,Delta,descriptive_seed_subset
10000,independent_noise,0.0,1.0,-1.0,True
10000,common_driver,0.9407408543235145,1.0,-0.05925914567648549,True
10000,matched_low_rank,0.8050410779178336,1.0,-0.19495892208216636,True
10000,matched_spectrum,0.0,1.0,-1.0,True
10000,matched_autocorrelation,0.0,1.0,-1.0,True
10000,switching_mode,0.0,1.0,-1.0,True
10000,transient_mode,0.0,1.0,-1.0,True
10000,nonstationary_drift,0.0,1.0,-1.0,True
10000,finite_sample_spurious,0.0,0.0,0.0,True
10000,mixture_without_relational_mechanism,0.0,1.0,-1.0,True
10001,independent_noise,0.0,1.0,-1.0,True
10001,common_driver,0.7416022899759711,1.0,-0.2583977100240289,True
10001,matched_low_rank,0.9416858637946383,1.0,-0.058314136205361744,True
10001,matched_spectrum,0.0,1.0,-1.0,True
10001,matched_autocorrelation,0.0,1.0,-1.0,True
10001,switching_mode,0.0,1.0,-1.0,True
10001,transient_mode,0.0,1.0,-1.0,True
10001,nonstationary_drift,0.0,1.0,-1.0,True
10001,finite_sample_spurious,0.0,1.0,-1.0,True
10001,mixture_without_relational_mechanism,0.5516401134003236,1.0,-0.4483598865996764,True
10002,independent_noise,0.0,1.0,-1.0,True
10002,common_driver,0.8897724562503926,1.0,-0.11022754374960742,True
10002,matched_low_rank,0.9199067063229635,1.0,-0.08009329367703655,True
10002,matched_spectrum,0.0,1.0,-1.0,True
10002,matched_autocorrelation,0.0,1.0,-1.0,True
10002,switching_mode,0.0,1.0,-1.0,True
10002,transient_mode,0.6990227932637035,1.0,-0.30097720673629647,True
10002,nonstationary_drift,0.0,1.0,-1.0,True
10002,finite_sample_spurious,0.5567040820749742,1.0,-0.44329591792502576,True
10002,mixture_without_relational_mechanism,0.6112675157327111,1.0,-0.3887324842672889,True
10003,independent_noise,0.0,0.0,0.0,True
10003,common_driver,0.9999999999999981,1.0,-1.887379141862766e-15,True
10003,matched_low_rank,0.9597359271914689,1.0,-0.04026407280853106,True
10003,matched_spectrum,0.0,1.0,-1.0,True
10003,matched_autocorrelation,0.0,1.0,-1.0,True
10003,switching_mode,0.0,1.0,-1.0,True
10003,transient_mode,0.0,1.0,-1.0,True
10003,nonstationary_drift,0.0,1.0,-1.0,True
10003,finite_sample_spurious,0.9999999999994504,1.0,-5.495603971894525e-13,True
10003,mixture_without_relational_mechanism,0.0,1.0,-1.0,True
10004,independent_noise,0.0,1.0,-1.0,True
10004,common_driver,0.9189464907151844,1.0,-0.08105350928481558,True
10004,matched_low_rank,0.9329548440349699,1.0,-0.06704515596503013,True
10004,matched_spectrum,0.6397151644887089,1.0,-0.3602848355112911,True
10004,matched_autocorrelation,0.0,1.0,-1.0,True
10004,switching_mode,0.44424349661196477,1.0,-0.5557565033880352,True
10004,transient_mode,0.10093223771601957,1.0,-0.8990677622839804,True
10004,nonstationary_drift,0.0,1.0,-1.0,True
10004,finite_sample_spurious,0.0,1.0,-1.0,True
10004,mixture_without_relational_mechanism,0.7605217263004619,1.0,-0.2394782736995381,True
10005,independent_noise,0.0,1.0,-1.0,True
10005,common_driver,0.9806096870458716,1.0,-0.019390312954128408,True
10005,matched_low_rank,0.9106136638069559,1.0,-0.08938633619304415,True
10005,matched_spectrum,0.0,1.0,-1.0,True
10005,matched_autocorrelation,0.0,1.0,-1.0,True
10005,switching_mode,0.0,1.0,-1.0,True
10005,transient_mode,0.0,1.0,-1.0,True
10005,nonstationary_drift,0.0,1.0,-1.0,True
10005,finite_sample_spurious,0.5012490183267039,1.0,-0.4987509816732961,True
10005,mixture_without_relational_mechanism,0.7873195012666182,1.0,-0.2126804987333818,True
10006,independent_noise,0.9999999999999606,1.0,-3.941291737419306e-14,True
10006,common_driver,0.9345286554024318,1.0,-0.0654713445975682,True
10006,matched_low_rank,0.8670757024136718,1.0,-0.13292429758632818,True
10006,matched_spectrum,0.0,1.0,-1.0,True
10006,matched_autocorrelation,0.0,1.0,-1.0,True
10006,switching_mode,0.0,1.0,-1.0,True
10006,transient_mode,0.0,1.0,-1.0,True
10006,nonstationary_drift,0.0,1.0,-1.0,True
10006,finite_sample_spurious,0.5052099852931311,1.0,-0.4947900147068689,True
10006,mixture_without_relational_mechanism,0.5584869420071207,1.0,-0.4415130579928793,True
10007,independent_noise,0.0,1.0,-1.0,True
10007,common_driver,0.9687090962182524,1.0,-0.03129090378174759,True
10007,matched_low_rank,0.951835165137218,1.0,-0.048164834862782,True
10007,matched_spectrum,0.0,1.0,-1.0,True
10007,matched_autocorrelation,0.0,1.0,-1.0,True
10007,switching_mode,0.0,1.0,-1.0,True
10007,transient_mode,0.0,1.0,-1.0,True
10007,nonstationary_drift,0.0,1.0,-1.0,True
10007,finite_sample_spurious,0.0,1.0,-1.0,True
10007,mixture_without_relational_mechanism,0.9343119903383836,1.0,-0.06568800966161636,True
10008,independent_noise,0.0,1.0,-1.0,True
10008,common_driver,0.9637656672959822,1.0,-0.03623433270401777,True
10008,matched_low_rank,0.9996746274614255,1.0,-0.00032537253857445325,True
10008,matched_spectrum,0.0,1.0,-1.0,True
10008,matched_autocorrelation,0.0,1.0,-1.0,True
10008,switching_mode,0.0,1.0,-1.0,True
10008,transient_mode,0.0,1.0,-1.0,True
10008,nonstationary_drift,0.0,1.0,-1.0,True
10008,finite_sample_spurious,0.38226190462307275,1.0,-0.6177380953769273,True
10008,mixture_without_relational_mechanism,0.0,1.0,-1.0,True
10009,independent_noise,0.0,1.0,-1.0,True
10009,common_driver,0.9681737680483506,1.0,-0.03182623195164935,True
10009,matched_low_rank,0.8682474385830772,1.0,-0.13175256141692282,True
