stage,seed,target_class,metric,transform_set,transform,base_score,transformed_score,retention
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P1_node_permutation,0.26243456184435643,0.2624345618443569,1.0
pilot,0,persistent_shared_mode,pearson,PRESERVE,P1_node_permutation,0.2581716889727461,0.2581716889727461,1.0
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P1_node_permutation,0.10185641592890893,0.10185641592890893,1.0
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P1_node_permutation,3.493231919528659,3.4932319195286583,0.9999999999999998
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P1_node_permutation,0.29110265996072154,0.29110265996072143,0.9999999999999997
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P1_node_permutation,0.23237276990838346,0.23237276990838346,1.0
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P1_node_permutation,0.72945692263785,0.7294569226378503,1.0
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P1_node_permutation,0.32238728351905377,0.3223872835190539,1.0
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P1_node_permutation,0.04511262945068867,0.045112629450688724,1.0
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P2_global_scaling,0.26243456184435643,0.26368980624566823,1.0
pilot,0,persistent_shared_mode,pearson,PRESERVE,P2_global_scaling,0.2581716889727461,0.2581716889727461,1.0
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P2_global_scaling,0.10185641592890893,0.10185642007725593,1.0
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P2_global_scaling,3.493231919528659,6.868125220151631,1.0
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P2_global_scaling,0.29110265996072154,0.3536253111343936,1.0
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P2_global_scaling,0.23237276990838346,0.1423355774438557,0.6125312251516117
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P2_global_scaling,0.72945692263785,0.7294569226378499,0.9999999999999999
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P2_global_scaling,0.32238728351905377,0.2732771036336103,0.8476671308204966
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P2_global_scaling,0.04511262945068867,0.048018582424066536,1.0
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P3_affine_offset,0.26243456184435643,0.26243456184435715,1.0
pilot,0,persistent_shared_mode,pearson,PRESERVE,P3_affine_offset,0.2581716889727461,0.2581716889727461,1.0
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P3_affine_offset,0.10185641592890893,0.10185641592890893,1.0
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P3_affine_offset,3.493231919528659,3.493231919528659,1.0
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P3_affine_offset,0.29110265996072154,0.2911026599607215,0.9999999999999998
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P3_affine_offset,0.23237276990838346,0.2323727699083835,1.0
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P3_affine_offset,0.72945692263785,0.72945692263785,1.0
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P3_affine_offset,0.32238728351905377,0.32238728351905366,0.9999999999999997
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P3_affine_offset,0.04511262945068867,0.0451126294506885,0.9999999999999963
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P4_orthogonal_basis_rotation,0.26243456184435643,0.2624345618443562,0.9999999999999991
pilot,0,persistent_shared_mode,pearson,PRESERVE,P4_orthogonal_basis_rotation,0.2581716889727461,0.220593909106099,0.8544465506029438
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P4_orthogonal_basis_rotation,0.10185641592890893,0.10185641592890882,0.9999999999999989
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P4_orthogonal_basis_rotation,3.493231919528659,3.4932319195286583,0.9999999999999998
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P4_orthogonal_basis_rotation,0.29110265996072154,0.29110265996072143,0.9999999999999997
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P4_orthogonal_basis_rotation,0.23237276990838346,0.23237276990838346,1.0
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P4_orthogonal_basis_rotation,0.72945692263785,0.7126486346041531,0.9769578058524483
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P4_orthogonal_basis_rotation,0.32238728351905377,0.3223872835190538,1.0
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P4_orthogonal_basis_rotation,0.04511262945068867,0.045112629450688724,1.0
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P5_observation_noise,0.26243456184435643,0.25762525921127466,0.9816742787257798
pilot,0,persistent_shared_mode,pearson,PRESERVE,P5_observation_noise,0.2581716889727461,0.25652502379872344,0.9936218212749249
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P5_observation_noise,0.10185641592890893,0.09946779732347899,0.9765491590917839
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P5_observation_noise,3.493231919528659,3.5042189919628086,1.0
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P5_observation_noise,0.29110265996072154,0.28888803499652227,0.9923922888080168
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P5_observation_noise,0.23237276990838346,0.22565002598056896,0.9710691406292353
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P5_observation_noise,0.72945692263785,0.7227056655879434,0.9907448173560505
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P5_observation_noise,0.32238728351905377,0.3165524629032172,0.9819012072928376
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P5_observation_noise,0.04511262945068867,0.04500160350081883,0.9975389164581684
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P6_time_reparameterization,0.26243456184435643,0.2932225534023878,1.0
pilot,0,persistent_shared_mode,pearson,PRESERVE,P6_time_reparameterization,0.2581716889727461,0.28216943186964266,1.0
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P6_time_reparameterization,0.10185641592890893,0.11718752081407968,1.0
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P6_time_reparameterization,3.493231919528659,3.5265103108432037,1.0
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P6_time_reparameterization,0.29110265996072154,0.3215373045376965,1.0
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P6_time_reparameterization,0.23237276990838346,0.2321391333114903,0.9989945612087626
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P6_time_reparameterization,0.72945692263785,0.8140621260016124,1.0
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P6_time_reparameterization,0.32238728351905377,0.39212760816902253,1.0
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P6_time_reparameterization,0.04511262945068867,0.047938203711379135,1.0
pilot,0,persistent_shared_mode,correlon_v1,PRESERVE,P7_coarse_graining,0.26243456184435643,0.43502788978859264,1.0
pilot,0,persistent_shared_mode,pearson,PRESERVE,P7_coarse_graining,0.2581716889727461,0.2901805239108191,1.0
pilot,0,persistent_shared_mode,mutual_information,PRESERVE,P7_coarse_graining,0.10185641592890893,0.12931612752870392,1.0
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P7_coarse_graining,3.493231919528659,3.4118300148826934,0.9766972515649779
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P7_coarse_graining,0.29110265996072154,0.3270635658271234,1.0
pilot,0,persistent_shared_mode,spectral_coherence,PRESERVE,P7_coarse_graining,0.23237276990838346,0.4557578918785321,1.0
pilot,0,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P7_coarse_graining,0.72945692263785,0.645092610232557,0.8843464092434463
pilot,0,persistent_shared_mode,linear_CKA,PRESERVE,P7_coarse_graining,0.32238728351905377,0.4122101711473146,1.0
pilot,0,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P7_coarse_graining,0.04511262945068867,0.0865166521732898,1.0
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D1_temporal_shuffle,0.26243456184435643,0.0,0.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D1_temporal_shuffle,0.2581716889727461,0.049860750103026104,0.19313020068706935
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D1_temporal_shuffle,0.10185641592890893,0.0065654405780390945,0.06445780089711255
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D1_temporal_shuffle,3.493231919528659,2.241873472482889,0.6417763046163234
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D1_temporal_shuffle,0.29110265996072154,0.186822789373574,0.6417763046163233
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D1_temporal_shuffle,0.23237276990838346,0.13423830195079106,0.5776851651065509
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D1_temporal_shuffle,0.72945692263785,0.026848296448291772,0.036805869702632214
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D1_temporal_shuffle,0.32238728351905377,0.012024811756666245,0.037299274417427676
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D1_temporal_shuffle,0.04511262945068867,0.024930451386392216,0.5526268738922209
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D2_phase_randomization,0.26243456184435643,0.030243332944547237,0.1152414252604572
pilot,0,persistent_shared_mode,pearson,DESTROY,D2_phase_randomization,0.2581716889727461,0.08563923023205691,0.33171425795296017
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D2_phase_randomization,0.10185641592890893,0.017683587145219337,0.17361289403273
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D2_phase_randomization,3.493231919528659,1.7778437122370758,0.5089395016397765
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D2_phase_randomization,0.29110265996072154,0.148153642686423,0.5089395016397767
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D2_phase_randomization,0.23237276990838346,0.1313243961571091,0.5651453748599106
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D2_phase_randomization,0.72945692263785,0.7287796605189306,0.999071552962346
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D2_phase_randomization,0.32238728351905377,0.041778446053154276,0.12959086226080963
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D2_phase_randomization,0.04511262945068867,0.02414813266193816,0.5352854168771917
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D3_IAAFT_surrogate,0.26243456184435643,0.0,0.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D3_IAAFT_surrogate,0.2581716889727461,0.10449266211195683,0.4047409788723488
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D3_IAAFT_surrogate,0.10185641592890893,0.029555939987068958,0.29017258969427745
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D3_IAAFT_surrogate,3.493231919528659,1.7460180082575687,0.4998288257062412
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D3_IAAFT_surrogate,0.29110265996072154,0.14550150068813067,0.49982882570624115
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D3_IAAFT_surrogate,0.23237276990838346,0.1420226441867687,0.6111845387166633
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D3_IAAFT_surrogate,0.72945692263785,0.7283985198341362,0.9985490537263167
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D3_IAAFT_surrogate,0.32238728351905377,0.06303189479673921,0.1955160703260614
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D3_IAAFT_surrogate,0.04511262945068867,0.03231771997171057,0.7163785477642386
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D4_edge_cutting,0.26243456184435643,0.024214739611419626,0.09226962882191105
pilot,0,persistent_shared_mode,pearson,DESTROY,D4_edge_cutting,0.2581716889727461,0.07693378126659883,0.297994646789952
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D4_edge_cutting,0.10185641592890893,0.018022704972424974,0.17694226532576984
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D4_edge_cutting,3.493231919528659,1.4038186413499156,0.4018681478037486
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D4_edge_cutting,0.29110265996072154,0.11698488677915966,0.40186814780374874
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D4_edge_cutting,0.23237276990838346,0.13158004519198552,0.5662455426419497
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D4_edge_cutting,0.72945692263785,0.652316019443114,0.8942488571966932
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D4_edge_cutting,0.32238728351905377,0.03465020815824602,0.10748007111204223
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D4_edge_cutting,0.04511262945068867,0.030789960899950286,0.6825131071911008
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D5_source_swap,0.26243456184435643,0.0,0.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D5_source_swap,0.2581716889727461,0.07534195942298269,0.29182889774926546
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D5_source_swap,0.10185641592890893,0.01651499714468463,0.1621399790486574
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D5_source_swap,3.493231919528659,2.0430536817173515,0.5848605900729946
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D5_source_swap,0.29110265996072154,0.17025447347644587,0.5848605900729945
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D5_source_swap,0.23237276990838346,0.1041497614502854,0.44820123068356094
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D5_source_swap,0.72945692263785,0.7017837572650031,0.9620633316183008
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D5_source_swap,0.32238728351905377,0.029727769152288062,0.09221135780478477
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D5_source_swap,0.04511262945068867,0.0275226260935032,0.6100869408108299
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D6_common_driver_replacement,0.26243456184435643,0.3740268905612843,1.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D6_common_driver_replacement,0.2581716889727461,0.16931235842970663,0.6558130331927297
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D6_common_driver_replacement,0.10185641592890893,0.035939134209881596,0.35284114291794294
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D6_common_driver_replacement,3.493231919528659,2.8151230823538347,0.8058792393989341
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D6_common_driver_replacement,0.29110265996072154,0.2345935901961529,0.8058792393989344
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D6_common_driver_replacement,0.23237276990838346,0.22657283121458568,0.9750403685591712
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D6_common_driver_replacement,0.72945692263785,0.156031068853978,0.21390031955518501
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D6_common_driver_replacement,0.32238728351905377,0.1497751603558618,0.4645814770389657
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D6_common_driver_replacement,0.04511262945068867,0.04714516006006475,1.0
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D7_history_destruction,0.26243456184435643,0.0,0.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D7_history_destruction,0.2581716889727461,0.07415830918861169,0.2872441571098844
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D7_history_destruction,0.10185641592890893,0.014870603386736958,0.14599574559069456
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D7_history_destruction,3.493231919528659,2.2666936400403292,0.6488815206824784
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D7_history_destruction,0.29110265996072154,0.18889113667002738,0.6488815206824783
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D7_history_destruction,0.23237276990838346,0.14029432923959215,0.603746855945752
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D7_history_destruction,0.72945692263785,0.7414129390164143,1.0
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D7_history_destruction,0.32238728351905377,0.025814199514016697,0.08007201534824504
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D7_history_destruction,0.04511262945068867,0.03682617699179963,0.8163163495502579
pilot,0,persistent_shared_mode,correlon_v1,DESTROY,D8_block_shuffle,0.26243456184435643,0.0,0.0
pilot,0,persistent_shared_mode,pearson,DESTROY,D8_block_shuffle,0.2581716889727461,0.06645826666057664,0.25741887859591106
pilot,0,persistent_shared_mode,mutual_information,DESTROY,D8_block_shuffle,0.10185641592890893,0.012920551244068879,0.12685063700932522
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D8_block_shuffle,3.493231919528659,2.23840842370169,0.6407843725428106
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,DESTROY,D8_block_shuffle,0.29110265996072154,0.18653403530847412,0.6407843725428106
pilot,0,persistent_shared_mode,spectral_coherence,DESTROY,D8_block_shuffle,0.23237276990838346,0.09643970462934272,0.41502153917331003
pilot,0,persistent_shared_mode,autocorrelation_persistence,DESTROY,D8_block_shuffle,0.72945692263785,0.7004290712826275,0.9602062158101777
pilot,0,persistent_shared_mode,linear_CKA,DESTROY,D8_block_shuffle,0.32238728351905377,0.02136282539717728,0.06626447905757639
pilot,0,persistent_shared_mode,VAR_ARX_predictive,DESTROY,D8_block_shuffle,0.04511262945068867,0.027762913935001965,0.6154133393033279
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P1_node_permutation,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P1_node_permutation,0.07033270381576857,0.0703327038157686,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P1_node_permutation,0.01369187638171998,0.01369187638171998,1.0
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P1_node_permutation,1.6631441677042695,1.6631441677042706,1.0
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P1_node_permutation,0.13859534730868905,0.13859534730868908,1.0
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P1_node_permutation,0.12328908740992614,0.12328908740992674,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P1_node_permutation,0.6015538854791411,0.6015538854791411,1.0
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P1_node_permutation,0.028583237570583387,0.028583237570583387,1.0
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P1_node_permutation,0.046978820412163225,0.04697882041216306,0.9999999999999964
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P2_global_scaling,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P2_global_scaling,0.07033270381576857,0.07033270381576862,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P2_global_scaling,0.01369187638171998,0.013691875485779104,0.9999999345640544
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P2_global_scaling,1.6631441677042695,4.32090049589559,1.0
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P2_global_scaling,0.13859534730868905,0.22247407163728142,1.0
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P2_global_scaling,0.12328908740992614,0.11981600313043793,0.9718297510959709
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P2_global_scaling,0.6015538854791411,0.6015538854791412,1.0
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P2_global_scaling,0.028583237570583387,0.02701488230874484,0.9451302443270937
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P2_global_scaling,0.046978820412163225,0.04532365724569626,0.9647678857845815
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P3_affine_offset,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P3_affine_offset,0.07033270381576857,0.07033270381576857,1.0
pilot,0,direct_coupling_SCM,mutual_information,PRESERVE,P3_affine_offset,0.01369187638171998,0.01369187638171998,1.0
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,PRESERVE,P3_affine_offset,1.6631441677042695,1.663144167704269,0.9999999999999998
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,PRESERVE,P3_affine_offset,0.13859534730868905,0.13859534730868903,0.9999999999999998
pilot,0,direct_coupling_SCM,spectral_coherence,PRESERVE,P3_affine_offset,0.12328908740992614,0.12328908740992628,1.0
pilot,0,direct_coupling_SCM,autocorrelation_persistence,PRESERVE,P3_affine_offset,0.6015538854791411,0.601553885479141,0.9999999999999998
pilot,0,direct_coupling_SCM,linear_CKA,PRESERVE,P3_affine_offset,0.028583237570583387,0.028583237570583384,0.9999999999999999
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,PRESERVE,P3_affine_offset,0.046978820412163225,0.046978820412163114,0.9999999999999977
pilot,0,direct_coupling_SCM,correlon_v1,PRESERVE,P4_orthogonal_basis_rotation,0.0,0.0,0.0
pilot,0,direct_coupling_SCM,pearson,PRESERVE,P4_orthogonal_basis_rotation,0.07033270381576857,0.07015533134627777,0.9974780939752378
