stage,seed,target_class,metric,base_score,P,D,Delta,weakest_preserve_transform,strongest_destroy_transform,T_iso,T_floor,T_pers
pilot,0,persistent_shared_mode,correlon_v1,0.26243456184435643,0.9816742787257798,1.0,-0.018325721274220164,P5_observation_noise,D6_common_driver_replacement,0.09420812332747308,0.7310611528799538,0.47002689458766667
pilot,0,persistent_shared_mode,pearson,0.2581716889727461,0.8544465506029438,0.6558130331927297,0.19863351741021418,P4_orthogonal_basis_rotation,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,mutual_information,0.10185641592890893,0.9765491590917839,0.35284114291794294,0.6237080161738409,P5_observation_noise,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,largest_covariance_eigenvalue,3.493231919528659,0.9766972515649779,0.8058792393989341,0.17081801216604375,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,pca_rank1_explained_variance,0.29110265996072154,0.9923922888080168,0.8058792393989344,0.18651304940908242,P5_observation_noise,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,spectral_coherence,0.23237276990838346,0.6125312251516117,0.9750403685591712,-0.36250914340755946,P2_global_scaling,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,autocorrelation_persistence,0.72945692263785,0.8843464092434463,1.0,-0.11565359075655368,P7_coarse_graining,D7_history_destruction,,,
pilot,0,persistent_shared_mode,linear_CKA,0.32238728351905377,0.8476671308204966,0.4645814770389657,0.3830856537815309,P2_global_scaling,D6_common_driver_replacement,,,
pilot,0,persistent_shared_mode,VAR_ARX_predictive,0.04511262945068867,0.9975389164581684,1.0,-0.00246108354183161,P5_observation_noise,D6_common_driver_replacement,,,
pilot,0,direct_coupling_SCM,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D2_phase_randomization,-0.017093483316420216,0.17372736820414142,0.047969939240372905
pilot,0,direct_coupling_SCM,pearson,0.07033270381576857,0.9974780939752378,1.0,-0.0025219060247622105,P4_orthogonal_basis_rotation,D5_source_swap,,,
pilot,0,direct_coupling_SCM,mutual_information,0.01369187638171998,0.9999999345640544,1.0,-6.543594555097343e-08,P2_global_scaling,D5_source_swap,,,
pilot,0,direct_coupling_SCM,largest_covariance_eigenvalue,1.6631441677042695,0.875276211823437,1.0,-0.12472378817656304,P7_coarse_graining,D7_history_destruction,,,
pilot,0,direct_coupling_SCM,pca_rank1_explained_variance,0.13859534730868905,0.9897037229526863,1.0,-0.010296277047313729,P5_observation_noise,D7_history_destruction,,,
pilot,0,direct_coupling_SCM,spectral_coherence,0.12328908740992614,0.9718297510959709,1.0,-0.028170248904029083,P2_global_scaling,D3_IAAFT_surrogate,,,
pilot,0,direct_coupling_SCM,autocorrelation_persistence,0.6015538854791411,0.8037674319493849,1.0,-0.19623256805061506,P7_coarse_graining,D5_source_swap,,,
pilot,0,direct_coupling_SCM,linear_CKA,0.028583237570583387,0.9451302443270937,1.0,-0.054869755672906306,P2_global_scaling,D5_source_swap,,,
pilot,0,direct_coupling_SCM,VAR_ARX_predictive,0.046978820412163225,0.9578082503364967,0.7437204353655172,0.2140878149709795,P5_observation_noise,D7_history_destruction,,,
pilot,0,history_dependent_relational_mode,correlon_v1,0.0,0.0,1.0,-1.0,P1_node_permutation,D3_IAAFT_surrogate,-0.027333901490176116,0.32542416470277824,0.12221583771333411
pilot,0,history_dependent_relational_mode,pearson,0.07491046507411667,0.9996607980992549,0.8831827349468099,0.11647806315244502,P5_observation_noise,D8_block_shuffle,,,
pilot,0,history_dependent_relational_mode,mutual_information,0.016497914587484952,0.9999992614965474,0.8076818708302614,0.19231739066628595,P2_global_scaling,D4_edge_cutting,,,
pilot,0,history_dependent_relational_mode,largest_covariance_eigenvalue,1.4561549278171042,0.8610865628538886,1.0,-0.13891343714611137,P7_coarse_graining,D6_common_driver_replacement,,,
pilot,0,history_dependent_relational_mode,pca_rank1_explained_variance,0.12134624398475873,0.9990649365854649,1.0,-0.0009350634145350867,P5_observation_noise,D6_common_driver_replacement,,,
pilot,0,history_dependent_relational_mode,spectral_coherence,0.13649483124058678,1.0,1.0,0.0,P1_node_permutation,D1_temporal_shuffle,,,
pilot,0,history_dependent_relational_mode,autocorrelation_persistence,0.6013024893593697,0.7956627237917889,1.0,-0.20433727620821107,P7_coarse_graining,D5_source_swap,,,
