seed,metric,P,D,Delta,weakest_target_class,weakest_preserve_transform,strongest_destroy_target_class,strongest_destroy_transform,target_class_count,strongest_baseline_metric,strongest_baseline_delta,baseline_advantage
10000,VAR_ARX_predictive,0.8326426253456111,1.0,-0.16735737465438894,direct_coupling_SCM,P2_global_scaling,history_dependent_relational_mode,D6_common_driver_replacement,3,,,
10000,autocorrelation_persistence,0.8023608238867221,1.0,-0.19763917611327786,history_dependent_relational_mode,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10000,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P6_time_reparameterization,persistent_shared_mode,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.010085908421816003,-0.989914091578184
10000,largest_covariance_eigenvalue,0.8858443146522746,1.0,-0.11415568534772536,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D7_history_destruction,3,,,
10000,linear_CKA,0.3434764990078447,1.0,-0.6565235009921553,persistent_shared_mode,P2_global_scaling,history_dependent_relational_mode,D2_phase_randomization,3,,,
10000,mutual_information,0.9650256670158232,1.0,-0.03497433298417685,persistent_shared_mode,P5_observation_noise,history_dependent_relational_mode,D2_phase_randomization,3,,,
10000,pca_rank1_explained_variance,0.989914091578184,1.0,-0.010085908421816003,history_dependent_relational_mode,P5_observation_noise,direct_coupling_SCM,D7_history_destruction,3,,,
10000,pearson,0.9215621151815108,1.0,-0.07843788481848923,persistent_shared_mode,P4_orthogonal_basis_rotation,history_dependent_relational_mode,D2_phase_randomization,3,,,
10000,spectral_coherence,0.4477877936396577,1.0,-0.5522122063603423,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D2_phase_randomization,3,,,
10001,VAR_ARX_predictive,0.9152911635828728,1.0,-0.08470883641712723,history_dependent_relational_mode,P2_global_scaling,history_dependent_relational_mode,D3_IAAFT_surrogate,3,,,
10001,autocorrelation_persistence,0.7876710577727583,1.0,-0.21232894222724175,direct_coupling_SCM,P7_coarse_graining,persistent_shared_mode,D5_source_swap,3,,,
10001,correlon_v1,0.0,1.0,-1.0,direct_coupling_SCM,P6_time_reparameterization,direct_coupling_SCM,D6_common_driver_replacement,3,pca_rank1_explained_variance,-0.006184461241731998,-0.993815538758268
10001,largest_covariance_eigenvalue,0.8448016351170806,1.0,-0.15519836488291938,direct_coupling_SCM,P7_coarse_graining,direct_coupling_SCM,D4_edge_cutting,3,,,
10001,linear_CKA,0.4119964159337748,1.0,-0.5880035840662252,persistent_shared_mode,P2_global_scaling,direct_coupling_SCM,D4_edge_cutting,3,,,
10001,mutual_information,0.9695446919312408,1.0,-0.03045530806875918,direct_coupling_SCM,P5_observation_noise,direct_coupling_SCM,D4_edge_cutting,3,,,
