stage,seed,target_class,metric,transform_set,transform,base_score,transformed_score,retention
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P1_node_permutation,0.3433305669113954,0.34333056691139585,1.0
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P1_node_permutation,0.19495360958079402,0.19495360958079402,1.0
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P1_node_permutation,0.0645278702519021,0.0645278702519021,1.0
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P1_node_permutation,2.796275624262477,2.796275624262474,0.9999999999999989
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P1_node_permutation,0.23302296868853967,0.23302296868853944,0.999999999999999
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P1_node_permutation,0.25286489475940016,0.25286489475940016,1.0
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P1_node_permutation,0.6995099112786511,0.6995099112786508,0.9999999999999996
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P1_node_permutation,0.20526531696462846,0.20526531696462852,1.0
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P1_node_permutation,0.04655264812902632,0.04655264812902632,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P2_global_scaling,0.3433305669113954,0.341975218673102,0.9960523519636304
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P2_global_scaling,0.19495360958079402,0.19495360958079408,1.0
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P2_global_scaling,0.0645278702519021,0.06452776700301455,0.9999983999334373
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P2_global_scaling,2.796275624262477,3.3067631362155416,1.0
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P2_global_scaling,0.23302296868853967,0.2344395926492557,1.0
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P2_global_scaling,0.25286489475940016,0.11322981331323605,0.4477877936396577
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P2_global_scaling,0.6995099112786511,0.6995099112786508,0.9999999999999996
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P2_global_scaling,0.20526531696462846,0.07050381243874615,0.34347649900784477
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P2_global_scaling,0.04655264812902632,0.042191613644074866,0.9063203778899039
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P3_affine_offset,0.3433305669113954,0.34333056691139624,1.0
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P3_affine_offset,0.19495360958079402,0.19495360958079402,1.0
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P3_affine_offset,0.0645278702519021,0.06452787025190199,0.9999999999999983
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P3_affine_offset,2.796275624262477,2.796275624262475,0.9999999999999993
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P3_affine_offset,0.23302296868853967,0.23302296868853958,0.9999999999999997
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P3_affine_offset,0.25286489475940016,0.2528648947594002,1.0
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P3_affine_offset,0.6995099112786511,0.6995099112786508,0.9999999999999996
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P3_affine_offset,0.20526531696462846,0.20526531696462846,1.0
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P3_affine_offset,0.04655264812902632,0.04655264812902632,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P4_orthogonal_basis_rotation,0.3433305669113954,0.343330566911395,0.9999999999999989
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P4_orthogonal_basis_rotation,0.19495360958079402,0.179661860807547,0.9215621151815109
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P4_orthogonal_basis_rotation,0.0645278702519021,0.06452787025190199,0.9999999999999983
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P4_orthogonal_basis_rotation,2.796275624262477,2.796275624262475,0.9999999999999993
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P4_orthogonal_basis_rotation,0.23302296868853967,0.23302296868853953,0.9999999999999994
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P4_orthogonal_basis_rotation,0.25286489475940016,0.2528648947594001,0.9999999999999998
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P4_orthogonal_basis_rotation,0.6995099112786511,0.6931963858495296,0.9909743588656508
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P4_orthogonal_basis_rotation,0.20526531696462846,0.20526531696462852,1.0
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P4_orthogonal_basis_rotation,0.04655264812902632,0.04655264812902632,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P5_observation_noise,0.3433305669113954,0.34098488710536784,0.9931678678448898
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P5_observation_noise,0.19495360958079402,0.19172117123195542,0.9834194485765652
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P5_observation_noise,0.0645278702519021,0.06227105103095232,0.9650256670158233
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P5_observation_noise,2.796275624262477,2.806223347470463,1.0
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P5_observation_noise,0.23302296868853967,0.23155988365527003,0.9937212840369174
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P5_observation_noise,0.25286489475940016,0.24362625153213754,0.9634641129760098
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P5_observation_noise,0.6995099112786511,0.6933351231164124,0.9911726938208042
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P5_observation_noise,0.20526531696462846,0.19988878054290615,0.9738068929460265
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P5_observation_noise,0.04655264812902632,0.04664212176107768,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P6_time_reparameterization,0.3433305669113954,0.3136094719763844,0.9134330065558035
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P6_time_reparameterization,0.19495360958079402,0.21034404189496764,1.0
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P6_time_reparameterization,0.0645278702519021,0.0754254399315839,1.0
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P6_time_reparameterization,2.796275624262477,2.64369510952463,0.9454343794245639
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P6_time_reparameterization,0.23302296868853967,0.24620601642568504,1.0
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P6_time_reparameterization,0.25286489475940016,0.23781666887754754,0.9404890667161571
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P6_time_reparameterization,0.6995099112786511,0.7934767654003876,1.0
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P6_time_reparameterization,0.20526531696462846,0.23967756638854165,1.0
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P6_time_reparameterization,0.04655264812902632,0.05201364145451137,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,PRESERVE,P7_coarse_graining,0.3433305669113954,0.43935449369041313,1.0
confirmatory,10000,persistent_shared_mode,pearson,PRESERVE,P7_coarse_graining,0.19495360958079402,0.2265035875385354,1.0
confirmatory,10000,persistent_shared_mode,mutual_information,PRESERVE,P7_coarse_graining,0.0645278702519021,0.0848320338166777,1.0
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,PRESERVE,P7_coarse_graining,2.796275624262477,2.677247962811708,0.9574335017556924
confirmatory,10000,persistent_shared_mode,pca_rank1_explained_variance,PRESERVE,P7_coarse_graining,0.23302296868853967,0.26152921230944465,1.0
confirmatory,10000,persistent_shared_mode,spectral_coherence,PRESERVE,P7_coarse_graining,0.25286489475940016,0.43790140268382755,1.0
confirmatory,10000,persistent_shared_mode,autocorrelation_persistence,PRESERVE,P7_coarse_graining,0.6995099112786511,0.6118585193419327,0.8746959971210438
confirmatory,10000,persistent_shared_mode,linear_CKA,PRESERVE,P7_coarse_graining,0.20526531696462846,0.27435369798923875,1.0
confirmatory,10000,persistent_shared_mode,VAR_ARX_predictive,PRESERVE,P7_coarse_graining,0.04655264812902632,0.08799317935790618,1.0
confirmatory,10000,persistent_shared_mode,correlon_v1,DESTROY,D1_temporal_shuffle,0.3433305669113954,0.0,0.0
confirmatory,10000,persistent_shared_mode,pearson,DESTROY,D1_temporal_shuffle,0.19495360958079402,0.0336165712861481,0.17243369516693402
confirmatory,10000,persistent_shared_mode,mutual_information,DESTROY,D1_temporal_shuffle,0.0645278702519021,0.0035775861467325365,0.05544249535536282
confirmatory,10000,persistent_shared_mode,largest_covariance_eigenvalue,DESTROY,D1_temporal_shuffle,2.796275624262477,1.776696807427201,0.6353797143641047
