gamma,omega,seed,trajectory_length,burn_in,dt,analytic_covariance_diff,empirical_covariance_diff,cov_a_target_diff,cov_b_target_diff,normalized_generator_difference,normalized_current_difference,c_only_predictor_difference,lagged_antisymmetric_a,lagged_antisymmetric_b,lagged_antisymmetric_delta,orientation_a,orientation_b
0.25,0.0,0,5000,1000,0.01,0.0,0.5939699560542546,0.45932420789905865,0.29060363308525833,0.0,0.0,1.7710699424689436,0.0022675076995975494,0.0017821939482421877,-0.00048531375135536163,0.0014279728117482576,0.0022045870368130414
0.25,0.0,1,5000,1000,0.01,0.0,0.242379679094628,0.41524864176327864,0.4047240816300417,0.0,0.0,0.19370323750590332,0.0014328511256219906,0.0007399678267173934,-0.0006928832989045972,0.0013525715020500562,-0.0003903958377171208
0.25,0.0,2,5000,1000,0.01,0.0,0.9736472484228288,0.5288367882410915,0.3101880119798534,0.0,0.0,0.670523053427217,0.0003101099558825042,0.002247164775618222,0.0019370548197357176,0.000557935156823988,-0.0016397833287912114
0.25,0.0,3,5000,1000,0.01,0.0,0.2999973297166058,0.2718644071913091,0.3523228574974444,0.0,0.0,0.2737943530364445,0.00039261912737712586,0.0008514300264441625,0.0004588108990670367,0.00032712907759062496,-0.0006137806746326578
0.25,0.0,4,5000,1000,0.01,0.0,0.7364459378461544,0.5222168683238896,0.3535298483138946,0.0,0.0,0.9811311052272993,0.0004832378245023116,0.0026219108230129988,0.002138672998510687,-0.0004794028028619588,-0.002168559134056703
0.25,0.0,5,5000,1000,0.01,0.0,0.748452230665962,0.6236112416854253,0.3482376387604643,0.0,0.0,1.51610039366979,0.0009911186265161185,0.00022267735559856167,-0.0007684412709175569,-0.001152606156986638,-0.0003035220698209804
0.25,0.0,6,5000,1000,0.01,0.0,1.1135556930472519,0.6034449778349773,0.4639850868515905,0.0,0.0,0.5831356065223106,0.0006539357743487632,0.0004551440242981,-0.0001987917500506632,0.0007408331954638931,-0.0004184182059572648
0.25,0.0,7,5000,1000,0.01,0.0,0.5029889365230148,0.12526164526352448,0.4250537828192109,0.0,0.0,0.5403944823602005,0.00022201544937295722,0.000740983140589717,0.0005189676912167598,0.00028001074913003814,-0.0009271474568278164
0.25,0.0,8,5000,1000,0.01,0.0,0.884462312438098,0.7457805694553484,0.4073335658550645,0.0,0.0,0.4556101439484621,0.0001982557414835438,0.0008020377889857069,0.0006037820475021631,0.00016346285894425138,0.0006764875994318293
0.25,0.0,9,5000,1000,0.01,0.0,0.5531356930507272,0.4223317958508124,0.5043211267764668,0.0,0.0,0.598632719364988,0.0015344815166975626,0.00019028011742189374,-0.001344201399275669,-0.002028920139056193,0.0006202802837346703
0.25,0.0,10,5000,1000,0.01,0.0,0.7080665751957267,0.41305122657521615,0.429784434753833,0.0,0.0,0.612595567455157,0.0027767244420926294,0.0008552140174182948,-0.0019215104246743347,0.0019515570181092754,0.00035091292124112277
0.25,0.0,11,5000,1000,0.01,0.0,0.9794232789954626,0.4537032738770438,0.4134947220592121,0.0,0.0,0.7165255146608632,0.0007936626595823074,0.003023153268859983,0.002229490609277676,0.0008159528475525934,0.002625858348273296
0.25,0.0,12,5000,1000,0.01,0.0,0.027987589467465396,0.2555060935021601,0.23361323013192442,0.0,0.0,0.019623896445037335,0.0009366229166716024,0.0001631879409623615,-0.0007734349757092409,0.0010950120997817593,-0.0001748786396573486
0.25,0.0,13,5000,1000,0.01,0.0,0.7500787898865938,0.9497518200863296,0.3473394562350606,0.0,0.0,1.174449669125026,0.0009120687075984227,0.00026670855000030316,-0.0006453601575981195,0.0014189843855227301,-0.0003048537385799605
0.25,0.0,14,5000,1000,0.01,0.0,0.2241521996352494,0.48193332490631025,0.5225955270048814,0.0,0.0,0.20568164390073324,0.0006885756632637291,0.0018232030681335726,0.0011346274048698434,0.00037751596956028035,0.0008896304199748454
0.25,0.0,15,5000,1000,0.01,0.0,0.42785398070507086,0.21476013626603352,0.43156460142123265,0.0,0.0,0.5838359040663068,0.0005087344325885693,0.0005982774653993806,8.954303281081134e-05,-0.0003305046129990599,-0.0011154024330288427
0.25,0.0,16,5000,1000,0.01,0.0,0.547169449428414,0.37428965558490546,0.15968782855457792,0.0,0.0,0.5634387768062539,0.002675609189008474,0.0008929428617321178,-0.0017826663272763562,0.003132317234324156,-0.0008836522569826075
0.25,0.0,17,5000,1000,0.01,0.0,0.727222042570667,0.4046403311547744,0.41028693237808517,0.0,0.0,0.687028251755618,8.133011511439292e-07,0.0011693523868919003,0.0011685390857407564,-7.936951562536376e-06,0.0006587453764322918
0.25,0.0,18,5000,1000,0.01,0.0,0.6143085707841442,0.3166211093446016,0.37021495260440906,0.0,0.0,0.6520684635797266,0.0005428588840870988,0.0016930695933758285,0.0011502107092887298,-9.938532366416659e-05,0.0019318612941823146
0.25,0.0,19,5000,1000,0.01,0.0,0.31443783599023195,0.32141483338008786,0.25378475256493577,0.0,0.0,0.30756347318457783,2.0122050212756304e-05,0.0005455821043075143,0.000525460054094758,-2.620701331836011e-05,0.0005992718311055564
0.25,0.0,20,5000,1000,0.01,0.0,0.33547816844895895,0.42596398908207267,0.14147086066321585,0.0,0.0,0.7291606768938688,0.002164435920749796,0.0014415950708845102,-0.0007228408498652858,0.0018794230437811001,-0.0013922952405726187
0.25,0.0,21,5000,1000,0.01,0.0,0.43580486746407676,0.21833097031408494,0.2134913072452334,0.0,0.0,0.29678740583761737,0.0017356170365415426,0.002658633538366409,0.0009230165018248662,0.0016553410812941312,-0.001970617171249809
0.25,0.0,22,5000,1000,0.01,0.0,0.6444203620261338,0.34224826735481206,0.5118428091039878,0.0,0.0,0.6984607580021168,0.0021962870640116245,0.000919636764184822,-0.0012766502998268025,0.001498969679375061,0.0011272125757994637
0.25,0.0,23,5000,1000,0.01,0.0,0.679143437673214,0.27644748246760315,0.4999906066869221,0.0,0.0,0.6621470216449631,0.0014545489489874103,0.0016076144801106555,0.00015306553112324518,0.0012995538735597533,-0.0013577423014882125
0.25,0.0,24,5000,1000,0.01,0.0,0.9738208406430243,0.479191854125188,0.45106557815606246,0.0,0.0,0.7097783869566465,0.00044809325925112837,0.0024379226033587067,0.001989829344107578,-0.0004324639654321117,0.001473731789843788
0.25,0.0,25,5000,1000,0.01,0.0,0.5751363425705961,0.40579479503012633,0.7051918153420689,0.0,0.0,0.44159543773483256,0.0015078892571879039,0.00041336112345608244,-0.0010945281337318214,0.0009679080340271378,-0.00048806608553627045
0.25,0.0,26,5000,1000,0.01,0.0,1.4382700111427416,0.4306379595069597,0.5906793165387945,0.0,0.0,0.45150224584721654,0.0007160153188685842,0.00215712650532753,0.0014411111864589456,-0.0006219082559462377,-0.0008393212734036819
0.25,0.0,27,5000,1000,0.01,0.0,0.5500118001354436,0.39772672889609373,0.3865078959721051,0.0,0.0,0.42563809156739546,0.0007368920138887804,0.0020456722752461424,0.001308780261357362,-0.0005817899924248659,0.0015449952074954964
0.25,0.0,28,5000,1000,0.01,0.0,1.114502676371865,0.6824511700230109,0.30657745016118754,0.0,0.0,0.8784507328225115,0.000954981929304275,0.0005242807065896976,-0.0004307012227145774,-0.0012199906029708085,-0.0007245625790305298
0.25,0.0,29,5000,1000,0.01,0.0,0.5904195936461504,0.5384929330310199,0.36207923806038733,0.0,0.0,1.0405099659100367,0.0016008437516749478,1.9691755408929025e-05,-0.0015811519962660187,0.000884015597239629,3.342656474429127e-05
