gamma,omega,empirical_covariance_diff_mean,empirical_covariance_diff_CI95_lo,empirical_covariance_diff_CI95_hi,pooled_mean_covariance_diff,pooled_mean_covariance_bootstrap_CI95_lo,pooled_mean_covariance_bootstrap_CI95_hi,analytic_covariance_diff,generator_difference,current_difference,c_only_predictor_difference_mean
0.25,0.0,0.6175898386910169,0.5605740194914117,0.6746056578906221,0.10709273135239401,0.05191169445003474,0.19468989036114184,0.0,0.0,0.0,0.5636805889859123
0.25,0.25,0.5103981904884262,0.4632102615057102,0.5575861194711421,0.11438590622580681,0.06644687244985194,0.18496142936040932,0.0,1.0,0.7071067811865475,0.6901821094961327
0.25,0.5,0.5079742673026056,0.4541114223556072,0.5618371122496041,0.07341185882026935,0.04146956369015912,0.14020244999615367,0.0,2.0,0.8944271909999159,0.6216557097671239
0.25,1.0,0.48915075655108176,0.4361152651871307,0.5421862479150329,0.10482010316259222,0.0487697183339225,0.17206246164969363,0.0,4.0,0.9701425001453319,0.6460283240658571
0.25,2.0,0.4717777156862348,0.42931140728429235,0.5142440240881773,0.1278069433070844,0.07044923024077501,0.18850644638882041,0.0,8.0,0.9922778767136677,0.7230531823941047
0.5,0.0,0.44344589172539517,0.4078849547788024,0.47900682867198796,0.028214656139297408,0.016873192766796608,0.09688783192737031,0.0,0.0,0.0,0.442517752475145
0.5,0.25,0.42817537239568987,0.384496832289386,0.4718539125019937,0.030960741432875916,0.017110286391274654,0.09297332560744377,0.0,0.5,0.4472135954999579,0.43139284774569736
0.5,0.5,0.4036070297885254,0.370427737639542,0.4367863219375088,0.06216937564749591,0.02924603709660178,0.11884837107919985,0.0,1.0,0.7071067811865475,0.45591676469089815
0.5,1.0,0.36007978339864244,0.329909147323452,0.3902504194738329,0.07629557313686587,0.04203809429732308,0.12319578159361713,0.0,2.0,0.8944271909999159,0.4389669793871449
0.5,2.0,0.3445504406279912,0.31142101832254443,0.3776798629334379,0.0643664396305506,0.02718895847894884,0.11334623955107855,0.0,4.0,0.9701425001453319,0.4169800786573066
1.0,0.0,0.35024604720840413,0.32076303754227975,0.3797290568745285,0.042409591011383696,0.019043348118039455,0.09201645422235757,0.0,0.0,0.0,0.3523508829286346
1.0,0.25,0.2931454388661471,0.2694687180547263,0.3168221596775679,0.015921045486888767,0.009810532294407308,0.06613806839948319,0.0,0.25,0.24253562503633297,0.3121867982960599
1.0,0.5,0.29759961350571384,0.2752684654358681,0.3199307615755596,0.021080841046277173,0.010037829231805798,0.06746686834545895,0.0,0.5,0.4472135954999579,0.3050320465286157
1.0,1.0,0.2687474061622587,0.24093570365020328,0.29655910867431406,0.023634371620887735,0.011541679004709522,0.06587936263772043,0.0,1.0,0.7071067811865475,0.2881380768205453
1.0,2.0,0.25307455559531644,0.23174445796642834,0.27440465322420454,0.039127940221353866,0.017605769460393588,0.07552378579998459,0.0,2.0,0.8944271909999159,0.2849497700713105
