dimension,condition,beta,sample_size,seed,control,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,trajectory_error
2,1.5,1.0,2000,0,diagonal_only,0.9458470261811331,0.03803886327975388,0.9995477465992881,0.015037509779080565,0.01467730516076907,0.011965225159110134
2,1.5,1.0,2000,0,coordinate_shuffled,0.945888001540373,0.03492557093496808,0.9996348441900867,0.013512139170265175,0.0146106738541841,0.01099815513999884
2,1.5,1.0,2000,0,random_SPD_matched_spectrum,0.934887006972201,0.15593906836896151,0.9916722849636483,0.06452795919735729,0.026071082070390817,0.04879706329478998
2,1.5,1.0,2000,0,PCA_rank_matched,1.0152463655198958,0.2208020561192381,0.9833646988870699,0.09120115435927895,0.1697176434932541,0.07049688194970646
2,1.5,1.0,2000,0,unknown_symplectic_structure,1.0,2.34915517430325e-17,,,,0.0
2,1.5,1.0,2000,1,diagonal_only,1.020078307628343,0.18841582506714755,0.9903846300647798,0.06933747159804791,0.017106523022790678,0.05891123448604704
2,1.5,1.0,2000,1,coordinate_shuffled,0.9824718284184758,0.013215824132893532,0.9999489084917542,0.005054280772071441,0.0017972692645754314,0.004133961780167121
2,1.5,1.0,2000,1,random_SPD_matched_spectrum,0.9742672262249233,0.12963014074828164,0.9953133859780099,0.04840771644061546,0.010133239902415946,0.040526820829012954
2,1.5,1.0,2000,1,PCA_rank_matched,1.0702142966802304,0.20852903126133385,0.9852047255128946,0.0860095183311286,0.15626009624499254,0.06652865254979086
2,1.5,1.0,2000,1,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083883
2,1.5,1.0,2000,2,diagonal_only,1.0100920780854132,0.009099474246817521,0.9999755638347056,0.003495437404275681,0.0005498102531007484,0.0028445089755943925
2,1.5,1.0,2000,2,coordinate_shuffled,1.0074775543912042,0.02849960494283726,0.9997637701260709,0.010868069606171114,0.0012793832892329315,0.00890837897316498
2,1.5,1.0,2000,2,random_SPD_matched_spectrum,1.006868073040799,0.04495324872102297,0.9994164407652413,0.017081557814770772,0.0018835670623568595,0.014051283007092366
2,1.5,1.0,2000,2,PCA_rank_matched,1.0983302334391989,0.21069550483141838,0.9840694091818092,0.08924850367986757,0.15586982769645427,0.06718607536459127
2,1.5,1.0,2000,2,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083883
2,1.5,1.0,2000,3,diagonal_only,0.9940866264782946,0.0888073202739396,0.9978024999523198,0.03314739844754158,0.0039743515822783316,0.0277593034587118
2,1.5,1.0,2000,3,coordinate_shuffled,0.9823535815487201,0.011013442087254273,0.9999651766084536,0.004172732410920934,0.0025172430219000262,0.003450109551285921
2,1.5,1.0,2000,3,random_SPD_matched_spectrum,0.930905471128204,0.3195475770811179,0.9704675795942957,0.12151629603823584,0.054757703063451034,0.09999648100190224
2,1.5,1.0,2000,3,PCA_rank_matched,1.0690567015255463,0.20896599661128426,0.9850243534017868,0.08653220960490143,0.15704281344628457,0.06667475329199475
2,1.5,1.0,2000,3,unknown_symplectic_structure,1.0,1.7638360475031927e-16,,,,9.578620073382343e-17
2,1.5,1.0,2000,4,diagonal_only,1.0091306492420746,0.17722834302951776,0.9918536689818662,0.06382135621456878,0.009920365951467978,0.05540065061913861
2,1.5,1.0,2000,4,coordinate_shuffled,0.975901253945495,0.02808488027920723,0.9997796522634994,0.010496374052514794,0.006911496242828529,0.008801050710337089
2,1.5,1.0,2000,4,random_SPD_matched_spectrum,0.9148706324901813,0.3490811222935098,0.9662091947679134,0.12998231655130352,0.0690169687989818,0.10927980201263243
2,1.5,1.0,2000,4,PCA_rank_matched,1.0563133843203991,0.21508478967980724,0.9840162594615626,0.08939726097156835,0.16194218191552642,0.06862499015018703
2,1.5,1.0,2000,4,unknown_symplectic_structure,0.0,1.0,,,,0.31596734224083883
