dimension,condition,sample_size,generator_error_median,generator_error_mean,vector_field_cosine_median,orbit_shape_error_median,frequency_error_median,trajectory_error_median
2,1.5,500,0.04955318620801613,0.05170295457760535,0.9993007336496731,0.018698480557613313,0.013054689488154629,0.019043952840636615
2,1.5,2000,0.025559578564483175,0.0267257809902739,0.9998143244726784,0.009635235527003023,0.006375005207604022,0.00957685182765216
2,1.5,10000,0.010491104030634886,0.011574139073297287,0.9999695096888948,0.003904504520756563,0.002819472091985212,0.004186953335638462
2,3.0,500,0.03381168446400756,0.03890091782417632,0.9993580755913429,0.017914381570191887,0.02148603459631752,0.023028885362107177
2,3.0,2000,0.016909601859111906,0.01889883298738555,0.9998334789222205,0.009124721304771892,0.011272033464731424,0.011802653049120882
2,3.0,10000,0.007871176924002583,0.008370494309513343,0.9999621121053839,0.00435245055656434,0.0049549703994054076,0.005080348105274778
2,10.0,500,0.017958709241706977,0.01934271594913336,0.9988054362690441,0.024438938101081477,0.02623434976068425,0.027493549645482673
2,10.0,2000,0.008089173083713295,0.009403789106269338,0.9997144336378148,0.011949191650177812,0.013656322063783442,0.014183836721047659
2,10.0,10000,0.003812585828402679,0.00410969900376163,0.9999454267232828,0.005223661393936025,0.006093278935789301,0.006077503577159023
2,30.0,500,0.007847458368173585,0.009638978693710722,0.9986807364957241,0.02568195168519928,0.031733384843891974,0.04124401803303833
2,30.0,2000,0.004524036458580282,0.005266293384086141,0.9996086583349133,0.01398303311390604,0.013919660917053826,0.02212974476444695
2,30.0,10000,0.0019271527040918557,0.002438998458853101,0.9999316615050114,0.005845429266535013,0.005188634019791489,0.00834372536965113
4,1.5,500,0.08476880297764763,0.08719290100608047,0.9975114427055856,0.03527431806959737,0.021713784372255948,0.03701197615711066
4,1.5,2000,0.04712387743380874,0.04687416489528138,0.9992430670957495,0.019454214251037646,0.013195947590877926,0.018708448502023682
4,1.5,10000,0.020053733619926743,0.020393162367096408,0.9998569907049539,0.008456032338497763,0.0046497508815487795,0.008136739522464189
4,3.0,500,0.08218090549478138,0.08329208501304972,0.9970458183218001,0.038432939506366476,0.02637308718217133,0.05231497026539035
4,3.0,2000,0.041131548604045054,0.04220690356630331,0.9992674058458804,0.019138889128155912,0.013288013602366741,0.0258428422927015
4,3.0,10000,0.01818533621589741,0.018173628525455832,0.9998622514145488,0.008299053724711136,0.00583105595752874,0.011280946136681907
4,10.0,500,0.06388398641421945,0.0656003398763129,0.9965488263810218,0.0415401830699996,0.03465974597841497,0.07652557381305966
4,10.0,2000,0.030061271802241232,0.03126799275492466,0.999255644694062,0.019291906410953113,0.017668935744375645,0.036558651698881464
