control,dimension,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
generic_non_gibbs_unrelated_H,2,0.10266075317905488,0.8316146304955147,0.3031427180159363,0.04206699534271875
gibbs_eigenvectors_rotated,2,0.8157957411948868,0.5783401323168625,0.9411038604643404,0.15361893658462908
incorrect_diagonal_observable_algebra,2,1.0,,1.014016017464025e-15,2.286365541337432e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.1196534130070521,0.19935678044548635
gibbs_eigenvectors_rotated,2,0.0,1.0,1.5419255257076858,0.1326764008793612
incorrect_diagonal_observable_algebra,2,1.0,,6.704275246740572e-16,2.6367796834847463e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.1062580542682425,0.1922261964096885
gibbs_eigenvectors_rotated,2,0.9839360235329379,0.1785214317503369,0.29536505631767096,0.016553319820898603
incorrect_diagonal_observable_algebra,2,1.0,,2.4400089022013963e-16,4.4582393332603935e-17
generic_non_gibbs_unrelated_H,2,0.28047468811938403,0.8644610720421539,0.9161509621318319,0.1574048676578106
gibbs_eigenvectors_rotated,2,0.0,1.0,1.680153696096594,0.21147748609614242
incorrect_diagonal_observable_algebra,2,1.0,,8.319696508799451e-16,2.664535259100375e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.07918491373359654,0.011136643535942892
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6295372854809114,0.2229900854929281
incorrect_diagonal_observable_algebra,2,1.0,,7.046841986731589e-16,1.5820678100908476e-16
generic_non_gibbs_unrelated_H,2,0.10123406373519958,0.9058330959262354,0.4229567802352249,0.0652531831364494
gibbs_eigenvectors_rotated,2,0.424703967463095,0.9053322815525283,1.3510027617151052,0.2699214381739553
incorrect_diagonal_observable_algebra,2,1.0,,8.037277331957535e-16,1.9810542095655133e-16
generic_non_gibbs_unrelated_H,2,0.0005250072789259838,0.9968103284151775,0.012480575950223952,0.001908253424719636
gibbs_eigenvectors_rotated,2,0.6608577396093399,0.7505111911213811,1.186466216112683,0.1494752312299174
incorrect_diagonal_observable_algebra,2,1.0,,1.3966964096470828e-15,4.565792188770955e-16
generic_non_gibbs_unrelated_H,2,1.3384472684290296,0.5319608619873674,1.1175037022439294,0.19058243626043536
gibbs_eigenvectors_rotated,2,0.6948637119802662,0.7191414476811951,0.9263114478423673,0.1490203052739566
incorrect_diagonal_observable_algebra,2,1.0,,6.700255741661399e-16,1.6722734308416416e-16
generic_non_gibbs_unrelated_H,2,0.12163986838976132,0.9963202281589761,1.7708798607467902,0.21183823424020973
gibbs_eigenvectors_rotated,2,0.7562939631668651,0.6542319476128908,1.0784970714495044,0.07229629279188908
incorrect_diagonal_observable_algebra,2,1.0,,5.695061038537296e-16,1.3600232051658166e-16
generic_non_gibbs_unrelated_H,2,0.37307942349957235,0.9457215267690563,1.5631816953698257,0.3093890967114434
gibbs_eigenvectors_rotated,2,0.0,1.0,1.5741690760759592,0.19904652943119616
incorrect_diagonal_observable_algebra,2,1.0,,4.491722643533388e-16,9.159339953157537e-17
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.6981332404614866,0.1137760005298963
gibbs_eigenvectors_rotated,2,0.0,1.0,1.682100856425562,0.24405842223646804
incorrect_diagonal_observable_algebra,2,1.0,,9.246136830774458e-16,2.3141211169530603e-16
generic_non_gibbs_unrelated_H,2,0.02383088836475915,0.9985669491842956,0.7997065102353995,0.14007506783243476
gibbs_eigenvectors_rotated,2,0.5649732096448615,0.8251092487565407,1.402574915594129,0.23395758446864162
incorrect_diagonal_observable_algebra,2,1.0,,1.329628874279226e-15,1.9984014443252813e-16
generic_non_gibbs_unrelated_H,2,0.6894919812424395,0.886410432801755,1.7985946694576935,0.24943412287336666
gibbs_eigenvectors_rotated,2,0.4428727960654678,0.8965844558685782,1.2831441858300352,0.26501852084149696
incorrect_diagonal_observable_algebra,2,1.0,,1.0525842377129034e-15,3.05311331771918e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.5242998718171266,0.023456375851794643
gibbs_eigenvectors_rotated,2,0.5252297854294715,0.8509604412061181,1.4337729280281601,0.24861516988875168
incorrect_diagonal_observable_algebra,2,1.0,,1.324115420332379e-15,4.3576253716537387e-16
generic_non_gibbs_unrelated_H,2,0.9094836333136791,0.8428383624996646,1.577210937678542,0.3374717508754753
gibbs_eigenvectors_rotated,2,0.5234184929286191,0.8520757485460628,1.3855640830765836,0.12153476735733856
incorrect_diagonal_observable_algebra,2,1.0,,1.1442707327174854e-15,1.866562460151044e-16
generic_non_gibbs_unrelated_H,2,0.05137492455832209,0.9215214669424684,0.24130069402883253,0.02751818166855154
gibbs_eigenvectors_rotated,2,0.0,1.0,1.319044999040528,0.19732563932604957
incorrect_diagonal_observable_algebra,2,1.0,,4.927044063829454e-16,1.4137996329210973e-16
generic_non_gibbs_unrelated_H,2,0.5878884234719207,0.37139590459206984,0.43997110749384943,0.05438222955194848
gibbs_eigenvectors_rotated,2,0.4619779111424339,0.8868914305688569,1.3414307004395323,0.27420010945606527
incorrect_diagonal_observable_algebra,2,1.0,,1.4001394227205734e-15,4.0245584642661915e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.7377380387227431,0.12628629942259623
gibbs_eigenvectors_rotated,2,0.861250054968297,0.5081814073902197,0.8434410094839897,0.10826282982619591
incorrect_diagonal_observable_algebra,2,1.0,,1.3355764144134533e-15,5.412337245047636e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,0.13772976877834087,0.017612178554420158
gibbs_eigenvectors_rotated,2,0.7504515003973736,0.660925521939749,1.0991660057690613,0.15420910531422832
incorrect_diagonal_observable_algebra,2,1.0,,4.756487036877853e-16,9.818534874028726e-17
generic_non_gibbs_unrelated_H,2,0.014863281805865852,0.9983346286339482,0.5080433966474572,0.07616667225863809
gibbs_eigenvectors_rotated,2,0.0,1.0,1.6771120515827436,0.217722454252204
incorrect_diagonal_observable_algebra,2,1.0,,8.919580870662312e-16,2.0261570199409104e-16
generic_non_gibbs_unrelated_H,2,0.0,1.0,1.3059835931975843,0.20522871379998442
gibbs_eigenvectors_rotated,2,0.7489573126555255,0.6626182489335875,0.9187217216721015,0.11952945841606359
incorrect_diagonal_observable_algebra,2,1.0,,8.239703554913684e-16,2.2620794126737565e-16
