model,dimension,seed,beta,scale_estimate,generator_error,flow_frobenius_error,expectation_trajectory_error
random_hermitian,2,0,0.25,0.2500000000000003,1.73880598543566e-16,5.595666990896242e-16,9.984832633070384e-17
random_hermitian,2,0,0.5,0.5000000000000003,1.8428865558353175e-16,1.1256979436750812e-15,2.568262776785467e-16
random_hermitian,2,0,1.0,1.0000000000000004,1.5701701025108699e-16,1.2276151019490555e-15,2.5136732363301564e-16
random_hermitian,2,0,2.0,2.0000000000000004,1.2461081019850126e-16,7.055714059522397e-16,1.0599033163783423e-16
random_hermitian,2,0,4.0,3.9999999999999987,9.63986951386765e-17,7.480277192744887e-16,1.2018253807566947e-16
random_hermitian,2,1,0.25,0.25,1.8785219353862663e-16,9.261381458137761e-16,2.6354469123952283e-16
random_hermitian,2,1,0.5,0.49999999999999967,2.5927626085990205e-16,5.907739998321525e-16,1.336982709261476e-16
random_hermitian,2,1,1.0,0.9999999999999998,2.274081952975361e-16,6.314467141854024e-16,5.731092683758375e-17
random_hermitian,2,1,2.0,1.9999999999999991,3.274756691192932e-16,1.1420342850424182e-15,1.193579555022767e-16
random_hermitian,2,1,4.0,4.000000000000074,2.39565307784485e-16,1.6576153205386496e-15,2.1563142910087715e-16
random_hermitian,2,2,0.25,0.25000000000000017,9.378472878764542e-16,1.651093887369973e-15,6.261927028669936e-16
random_hermitian,2,2,0.5,0.5000000000000001,2.1197502559286556e-16,8.384370533160021e-16,1.8259768778125857e-16
random_hermitian,2,2,1.0,1.0000000000000007,3.2948550308906406e-16,1.2216117559216566e-15,3.1281060177759243e-16
random_hermitian,2,2,2.0,2.000000000000001,3.568073783188291e-16,6.799542905348891e-16,1.5659625973404598e-16
random_hermitian,2,2,4.0,3.9999999999999925,4.1835644539557806e-16,1.3876733167610384e-15,2.1921015620287948e-16
random_hermitian,2,3,0.25,0.25,1.3969359672302415e-16,4.223764626761448e-16,5.95443833129039e-17
random_hermitian,2,3,0.5,0.4999999999999998,1.9432673076006484e-16,4.877289521424136e-16,1.5502892645800896e-16
random_hermitian,2,3,1.0,0.9999999999999998,1.4686986532824947e-16,5.633653146986482e-16,9.547549641266386e-17
random_hermitian,2,3,2.0,1.9999999999999996,1.2412814047231133e-16,4.840268267949936e-16,8.347911839393262e-17
random_hermitian,2,3,4.0,4.000000000000157,2.0957580544492905e-16,1.3142226824356897e-15,2.197315058086203e-16
random_hermitian,2,4,0.25,0.24999999999999972,1.5188656244482373e-15,1.8569760034445363e-15,5.781700009423014e-16
random_hermitian,2,4,0.5,0.49999999999999967,3.4447980367188104e-16,5.878443392269963e-16,1.7448613505209384e-16
random_hermitian,2,4,1.0,0.9999999999999996,1.2429347478607015e-16,3.838973132740353e-16,8.075085643846967e-17
random_hermitian,2,4,2.0,1.9999999999999993,1.8412654430500169e-16,9.207345939617124e-16,1.97014363174247e-16
random_hermitian,2,4,4.0,4.000000000000033,2.0041798386570845e-16,6.101748887747657e-16,1.0568904540077751e-16
random_hermitian,2,5,0.25,0.25,4.3475495581292946e-16,4.4557143221009125e-16,1.0810339551964868e-16
random_hermitian,2,5,0.5,0.5,2.9596754277552313e-16,1.0295915632285676e-15,1.3803462745887027e-16
random_hermitian,2,5,1.0,0.9999999999999991,2.420270261434827e-16,1.5333696212339555e-15,3.7532479263238247e-16
random_hermitian,2,5,2.0,1.9999999999999996,2.046837685559428e-16,1.3622245645887008e-15,3.715822572504299e-16
random_hermitian,2,5,4.0,3.999999999999912,2.568405462509356e-16,9.401518243911441e-16,2.3364360471766765e-16
random_hermitian,2,6,0.25,0.24999999999999978,3.5750780195463094e-16,5.566013184967139e-16,1.5005821498946367e-16
random_hermitian,2,6,0.5,0.5000000000000001,2.0598930264970166e-16,1.3424581621485688e-15,2.9230534454776124e-16
random_hermitian,2,6,1.0,1.0,1.1331160498837928e-16,6.135024312545784e-16,1.0962911005017695e-16
random_hermitian,2,6,2.0,2.000000000000001,1.0274821665879692e-16,4.336677632237541e-16,7.394258816351138e-17
random_hermitian,2,6,4.0,4.000000000000003,1.49595082535469e-16,1.4242908153479693e-15,1.5672685242294723e-16
random_hermitian,2,7,0.25,0.24999999999999994,6.958161243353496e-16,9.579988646060363e-16,3.1678847825017876e-16
random_hermitian,2,7,0.5,0.5,1.5838850350270541e-16,4.443308721793875e-16,1.0313798486914829e-16
random_hermitian,2,7,1.0,1.0000000000000004,2.6391119419658827e-16,7.873925695500064e-16,1.358808904782105e-16
random_hermitian,2,7,2.0,1.9999999999999996,3.8196056141277686e-16,9.73828869405597e-16,2.655824109440033e-16
random_hermitian,2,7,4.0,4.000000000000032,3.1890736892489226e-16,2.0299759883850982e-15,3.3063863074690434e-16
random_hermitian,2,8,0.25,0.25000000000000006,7.494072916334386e-16,6.717707077696657e-16,2.3337991367131677e-16
random_hermitian,2,8,0.5,0.49999999999999967,2.8608711629075996e-16,6.295550686306288e-16,2.1015493195714948e-16
random_hermitian,2,8,1.0,0.9999999999999998,2.0995273656764566e-16,8.472362950585403e-16,2.567756253740261e-16
random_hermitian,2,8,2.0,1.9999999999999987,1.8956376893270014e-16,8.641007456779719e-16,3.2773721806815487e-16
random_hermitian,2,8,4.0,3.999999999999992,1.5155290797919327e-16,8.308172678940144e-16,2.370064344768034e-16
random_hermitian,2,9,0.25,0.2499999999999999,5.389616889256707e-16,6.09293957929992e-16,9.152683862250881e-17
random_hermitian,2,9,0.5,0.49999999999999956,3.698188215481515e-16,4.241283633438108e-16,1.2515935512168294e-16
random_hermitian,2,9,1.0,0.9999999999999992,3.1005486470570675e-16,5.806280114864353e-16,6.574601973952097e-17
