model,dimension,beta,generator_error_max,flow_error_max,expectation_error_max,scale_mean
random_hermitian,2,0.25,1.869069116463548e-15,1.8903940505940982e-15,6.261927028669936e-16,0.25
random_hermitian,2,0.5,1.2994945581809368e-15,2.110379832509387e-15,5.521630460979268e-16,0.5
random_hermitian,2,1.0,8.252404422836347e-16,2.096126424683328e-15,5.490299906219531e-16,0.9999999999999999
random_hermitian,2,2.0,6.489663237286098e-16,2.3118327218881242e-15,5.886250539611237e-16,2.0
random_hermitian,2,4.0,7.533417863700505e-16,5.635545302771371e-15,8.192062718925935e-16,3.9999999999999902
random_hermitian,4,0.25,5.554859304583465e-15,4.745499439195357e-15,6.863605633345244e-16,0.25000000000000006
random_hermitian,4,0.5,3.5759215420678045e-15,4.565303071888028e-15,9.741730042208059e-16,0.5
random_hermitian,4,1.0,2.0697517399996788e-15,5.035420843952178e-15,8.08681185159729e-16,0.9999999999999999
random_hermitian,4,2.0,6.983244357020044e-15,3.281599313419542e-14,2.128015651922183e-15,1.9999999999999998
random_hermitian,4,4.0,9.050751338455717e-13,7.093923673939704e-12,4.35136215774106e-13,3.999999999999762
random_hermitian,8,0.25,1.0049333573645458e-14,7.237717293906605e-15,4.26096089535264e-16,0.24999999999999992
random_hermitian,8,0.5,5.340422820528659e-15,6.839111396661922e-15,4.0259967353742327e-16,0.5
random_hermitian,8,1.0,3.648827153979314e-15,9.15600492265196e-15,4.810522717103566e-16,0.9999999999999999
random_hermitian,8,2.0,1.49771250469958e-14,7.124725718987033e-14,1.9827989668020695e-15,2.0000000000000004
random_hermitian,8,4.0,2.852405913075272e-12,2.395515212897115e-11,7.89162009385092e-13,4.000000000000103
two_level_pauli,2,0.25,3.5464773617818187e-16,4.508105012446396e-16,1.1787907956332148e-16,0.25000000000000006
two_level_pauli,2,0.5,1.7374119841394624e-16,3.526107018753858e-16,5.113097445441638e-17,0.5
two_level_pauli,2,1.0,1.0030952767362005e-16,3.0408868157554314e-16,5.924080670460795e-17,1.0
two_level_pauli,2,2.0,1.808355727224056e-16,1.1875808045472113e-15,3.2372023113656843e-16,1.9999999999999993
two_level_pauli,2,4.0,1.1214946133455571e-16,1.5629810386144995e-15,1.3615262955420689e-16,3.9999999999999885
weakly_coupled_two_qubit,4,0.25,5.511969194928335e-15,4.013729754193586e-15,3.714994376291482e-16,0.25
weakly_coupled_two_qubit,4,0.5,1.444677126019221e-15,1.8548186040875407e-15,1.9357274277313915e-16,0.5000000000000001
weakly_coupled_two_qubit,4,1.0,1.2243255375780382e-15,2.298299774752855e-15,1.472548660223126e-16,0.9999999999999999
weakly_coupled_two_qubit,4,2.0,1.1513142643580619e-15,3.5362364101844853e-15,2.4037679762177844e-16,2.0000000000000018
weakly_coupled_two_qubit,4,4.0,2.50833831444316e-15,1.4012750406415965e-14,9.088250611649907e-16,4.000000000000017
