stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,1,0.1,1,correlon,2000,1000,64,0.0,1.0071685045746004,0.059435255277563666,0.9986293580655485,0.026178635702147717,0.007392969023609679,5.551115123125783e-17
development,0,4,1,0.1,1,cca_equivalent,2000,1000,64,0.0,1.0071685045746004,0.059435255277563666,0.9986293580655485,0.026178635702147717,0.007392969023609679,5.551115123125783e-17
development,0,4,1,0.1,1,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.04973720735049289,0.9990455366054357,0.021845633368757368,0.00784136003552352,7.681527754676604e-17
development,0,4,1,0.1,1,pca_rank_matched,2000,1000,64,0.0,1.0692435052842448,0.19362369785621125,0.9812446924617404,0.09683828669038824,0.11171658230637974,3.3306690738754696e-16
development,0,4,1,0.1,1,random_rank_matched,2000,1000,64,0.0,1.0063765524434534,0.06423245880911825,0.9986217014079508,0.02625165320555242,0.010768372549459464,3.3306690738754696e-16
development,0,4,1,0.1,1,raw_svd,2000,1000,64,0.0,1.0072714824771607,0.05893612554264651,0.9986646890564921,0.02583903000799214,0.00749966307352037,2.7755575615628914e-16
development,0,4,1,0.1,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
development,0,4,1,0.1,2,correlon,2000,1000,64,0.0,1.0048899896398134,0.06893861835219081,0.9981481185648227,0.03042927402335938,0.0075752306372726145,2.7755575615628914e-16
development,0,4,1,0.1,2,cca_equivalent,2000,1000,64,0.0,1.0048899896398134,0.06893861835219081,0.9981481185648227,0.03042927402335938,0.0075752306372726145,2.7755575615628914e-16
development,0,4,1,0.1,2,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.04973720735049289,0.9990455366054357,0.021845633368757368,0.00784136003552352,7.681527754676604e-17
development,0,4,1,0.1,2,pca_rank_matched,2000,1000,64,0.0,1.1000664701600729,0.2274861006803426,0.9760339746108831,0.10946694795488932,0.1742653058814097,2.498001805406602e-16
development,0,4,1,0.1,2,random_rank_matched,2000,1000,64,0.0,1.0056494423358833,0.06778315550845923,0.998052003116168,0.031208948106528432,0.008310578976501538,2.220446049250313e-16
development,0,4,1,0.1,2,raw_svd,2000,1000,64,0.0,1.0056405211659911,0.06562823933009973,0.9983113164502183,0.029057559685747993,0.008470226869860611,1.5265566588595902e-16
development,0,4,1,0.1,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
development,0,4,1,0.1,4,correlon,2000,1000,64,0.0,1.0039531390389387,0.07171554773716965,0.997983974306703,0.031749218047827,0.011839242263635497,2.0816681711721685e-16
development,0,4,1,0.1,4,cca_equivalent,2000,1000,64,0.0,1.0039531390389387,0.07171554773716965,0.997983974306703,0.031749218047827,0.011839242263635497,2.0816681711721685e-16
development,0,4,1,0.1,4,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.04973720735049289,0.9990455366054357,0.021845633368757368,0.00784136003552352,7.681527754676604e-17
development,0,4,1,0.1,4,pca_rank_matched,2000,1000,64,0.0,1.0039531597605846,0.07171554649600438,0.9979839743628001,0.03174921760610845,0.011839241041344742,1.1102230246251565e-16
development,0,4,1,0.1,4,random_rank_matched,2000,1000,64,0.0,1.0042085497388988,0.07383435228983617,0.9978564377942176,0.032738068099557344,0.009148355354514043,3.3306690738754696e-16
development,0,4,1,0.1,4,raw_svd,2000,1000,64,0.0,1.0039531390389382,0.07171554773717013,0.997983974306703,0.03174921804782717,0.011839242263635079,2.220446049250313e-16
development,0,4,1,0.1,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
