stage,seed,dimension,true_rank,strength,rank,method,train_samples,heldout_samples,field_evaluation_samples,cca_identity_diff,scale,generator_error,vector_field_cosine,orbit_shape_error,frequency_error,stability_max_real_eigenvalue
development,0,4,1,0.1,1,correlon,2000,1000,64,0.0,1.0071685045746004,0.0594352552775636,0.9986293580655484,0.0261786357021477,0.0073929690236096,5.551115123125783e-17
development,0,4,1,0.1,1,cca_equivalent,2000,1000,64,0.0,1.0071685045746004,0.0594352552775636,0.9986293580655484,0.0261786357021477,0.0073929690236096,5.551115123125783e-17
development,0,4,1,0.1,1,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.0497372073504928,0.9990455366054356,0.0218456333687573,0.0078413600355235,7.681527754676604e-17
development,0,4,1,0.1,1,pca_rank_matched,2000,1000,64,0.0,1.0692435052842448,0.1936236978562112,0.9812446924617404,0.0968382866903882,0.1117165823063797,3.3306690738754696e-16
development,0,4,1,0.1,1,random_rank_matched,2000,1000,64,0.0,1.0063765524434534,0.0642324588091182,0.9986217014079508,0.0262516532055524,0.0107683725494594,3.3306690738754696e-16
development,0,4,1,0.1,1,raw_svd,2000,1000,64,0.0,1.0072714824771607,0.0589361255426465,0.998664689056492,0.0258390300079921,0.0074996630735203,2.7755575615628914e-16
development,0,4,1,0.1,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
development,0,4,1,0.1,2,correlon,2000,1000,64,0.0,1.0048899896398134,0.0689386183521908,0.9981481185648228,0.0304292740233593,0.0075752306372726,2.7755575615628914e-16
development,0,4,1,0.1,2,cca_equivalent,2000,1000,64,0.0,1.0048899896398134,0.0689386183521908,0.9981481185648228,0.0304292740233593,0.0075752306372726,2.7755575615628914e-16
development,0,4,1,0.1,2,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.0497372073504928,0.9990455366054356,0.0218456333687573,0.0078413600355235,7.681527754676604e-17
development,0,4,1,0.1,2,pca_rank_matched,2000,1000,64,0.0,1.1000664701600729,0.2274861006803426,0.9760339746108831,0.1094669479548893,0.1742653058814097,2.498001805406602e-16
development,0,4,1,0.1,2,random_rank_matched,2000,1000,64,0.0,1.0056494423358833,0.0677831555084592,0.998052003116168,0.0312089481065284,0.0083105789765015,2.220446049250313e-16
development,0,4,1,0.1,2,raw_svd,2000,1000,64,0.0,1.0056405211659911,0.0656282393300997,0.9983113164502184,0.0290575596857479,0.0084702268698606,1.52655665885959e-16
development,0,4,1,0.1,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
development,0,4,1,0.1,4,correlon,2000,1000,64,0.0,1.003953139038939,0.0717155477371696,0.997983974306703,0.031749218047827,0.0118392422636354,2.0816681711721683e-16
development,0,4,1,0.1,4,cca_equivalent,2000,1000,64,0.0,1.003953139038939,0.0717155477371696,0.997983974306703,0.031749218047827,0.0118392422636354,2.0816681711721683e-16
development,0,4,1,0.1,4,block_diagonal,2000,1000,64,0.0,1.0099337232164676,0.0497372073504928,0.9990455366054356,0.0218456333687573,0.0078413600355235,7.681527754676604e-17
development,0,4,1,0.1,4,pca_rank_matched,2000,1000,64,0.0,1.0039531597605846,0.0717155464960043,0.9979839743628,0.0317492176061084,0.0118392410413447,1.1102230246251563e-16
development,0,4,1,0.1,4,random_rank_matched,2000,1000,64,0.0,1.0042085497388988,0.0738343522898361,0.9978564377942176,0.0327380680995573,0.009148355354514,3.3306690738754696e-16
development,0,4,1,0.1,4,raw_svd,2000,1000,64,0.0,1.0039531390389382,0.0717155477371701,0.997983974306703,0.0317492180478271,0.011839242263635,2.220446049250313e-16
development,0,4,1,0.1,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,7.32920668600201e-17
development,0,4,1,0.25,1,correlon,2000,1000,64,0.0,1.0145029616055974,0.0496951934283215,0.9990016458453106,0.0223422710874404,0.0252879750295536,1.3877787807814454e-16
development,0,4,1,0.25,1,cca_equivalent,2000,1000,64,0.0,1.0145029616055974,0.0496951934283215,0.9990016458453106,0.0223422710874404,0.0252879750295536,1.3877787807814454e-16
development,0,4,1,0.25,1,block_diagonal,2000,1000,64,0.0,1.0167612156244523,0.0546461723581967,0.9987500870353638,0.0249991296312114,0.0243082522530739,9.36644625699345e-17
development,0,4,1,0.25,1,pca_rank_matched,2000,1000,64,0.0,1.065491103835853,0.1964142562479306,0.9803670786758876,0.0990780533824527,0.1325313790452555,1.1102230246251563e-16
development,0,4,1,0.25,1,random_rank_matched,2000,1000,64,0.0,1.0109966332559084,0.0758502159523896,0.9978360471848626,0.0328934097893277,0.029979085784462,3.3306690738754696e-16
development,0,4,1,0.25,1,raw_svd,2000,1000,64,0.0,1.014572819907053,0.0499992402876179,0.9989832636130582,0.0225470218315151,0.0252278054934012,2.7755575615628914e-16
development,0,4,1,0.25,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.498001805406602e-16
development,0,4,1,0.25,2,correlon,2000,1000,64,0.0,1.0132021774134752,0.0553227156209167,0.9987774436578156,0.0247240403472464,0.0261644517480398,3.3306690738754696e-16
development,0,4,1,0.25,2,cca_equivalent,2000,1000,64,0.0,1.0132021774134752,0.0553227156209167,0.9987774436578156,0.0247240403472464,0.0261644517480398,3.3306690738754696e-16
development,0,4,1,0.25,2,block_diagonal,2000,1000,64,0.0,1.0167612156244523,0.0546461723581967,0.9987500870353638,0.0249991296312114,0.0243082522530739,9.36644625699345e-17
development,0,4,1,0.25,2,pca_rank_matched,2000,1000,64,0.0,1.1125704434413897,0.2229147668343203,0.9754106636242464,0.1108813247931177,0.1489012724278637,3.05311331771918e-16
development,0,4,1,0.25,2,random_rank_matched,2000,1000,64,0.0,1.0114879317224434,0.0723425252501069,0.9979230449209168,0.0322254176007332,0.0302335042977844,1.1102230246251563e-16
development,0,4,1,0.25,2,raw_svd,2000,1000,64,0.0,1.0134194606641538,0.0543797024179634,0.998818740887591,0.0243028713571979,0.0260784201671529,1.6653345369377348e-16
development,0,4,1,0.25,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.498001805406602e-16
development,0,4,1,0.25,4,correlon,2000,1000,64,0.0,1.0128293485110471,0.0566304693203025,0.9986877589952006,0.0256148492558455,0.0265171612922615,3.05311331771918e-16
development,0,4,1,0.25,4,cca_equivalent,2000,1000,64,0.0,1.0128293485110471,0.0566304693203025,0.9986877589952006,0.0256148492558455,0.0265171612922615,3.05311331771918e-16
development,0,4,1,0.25,4,block_diagonal,2000,1000,64,0.0,1.0167612156244523,0.0546461723581967,0.9987500870353638,0.0249991296312114,0.0243082522530739,9.36644625699345e-17
development,0,4,1,0.25,4,pca_rank_matched,2000,1000,64,0.0,1.0128293692407542,0.0566304681846601,0.9986877590575092,0.0256148486477177,0.0265171585330468,5.551115123125783e-17
development,0,4,1,0.25,4,random_rank_matched,2000,1000,64,0.0,1.0109909923463831,0.0758260435770554,0.9975409277192172,0.0350647421264052,0.031068530830525,3.8857805861880484e-16
development,0,4,1,0.25,4,raw_svd,2000,1000,64,0.0,1.0128293485110471,0.0566304693203029,0.9986877589952008,0.0256148492558456,0.0265171612922615,3.3306690738754696e-16
development,0,4,1,0.25,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.498001805406602e-16
development,0,4,1,0.5,1,correlon,2000,1000,64,0.0,0.9926433243774924,0.0558598109339711,0.9988810300783184,0.0236534344407063,0.0133204672334074,2.220446049250313e-16
development,0,4,1,0.5,1,cca_equivalent,2000,1000,64,0.0,0.9926433243774924,0.0558598109339711,0.9988810300783184,0.0236534344407063,0.0133204672334074,2.220446049250313e-16
development,0,4,1,0.5,1,block_diagonal,2000,1000,64,0.0,0.9999802941034198,0.0693709675078521,0.9977707703473008,0.0333858476955379,0.0103370943933958,1.310355602090275e-16
development,0,4,1,0.5,1,pca_rank_matched,2000,1000,64,0.0,1.0511818665616175,0.2007871333532248,0.9788094901847648,0.1029332546246237,0.0820900313746854,1.9428902930940242e-16
development,0,4,1,0.5,1,random_rank_matched,2000,1000,64,0.0,0.98937108608877,0.1083815233962797,0.9947390964876368,0.0512879299268514,0.0200507823956376,2.7755575615628914e-16
development,0,4,1,0.5,1,raw_svd,2000,1000,64,0.0,0.9928486825587284,0.0527347889511145,0.9990029458937468,0.0223277193892851,0.0131298469080906,2.7755575615628914e-16
development,0,4,1,0.5,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.7755575615628914e-16
development,0,4,1,0.5,2,correlon,2000,1000,64,0.0,0.9900403798265742,0.0646659732310068,0.998425362681199,0.0280591991938573,0.0175571788555733,3.3306690738754696e-16
development,0,4,1,0.5,2,cca_equivalent,2000,1000,64,0.0,0.9900403798265742,0.0646659732310068,0.998425362681199,0.0280591991938573,0.0175571788555733,3.3306690738754696e-16
development,0,4,1,0.5,2,block_diagonal,2000,1000,64,0.0,0.9999802941034198,0.0693709675078521,0.9977707703473008,0.0333858476955379,0.0103370943933958,1.310355602090275e-16
development,0,4,1,0.5,2,pca_rank_matched,2000,1000,64,0.0,1.0798444621231416,0.2307896123426783,0.9745568801993414,0.1127898927223945,0.1928069716495975,4.163336342344337e-16
development,0,4,1,0.5,2,random_rank_matched,2000,1000,64,0.0,0.990483448622242,0.0870042539477848,0.9967251115816048,0.040465345781268,0.0149682357019227,1.5959455978986623e-16
development,0,4,1,0.5,2,raw_svd,2000,1000,64,0.0,0.9899084804604056,0.0647052308940198,0.9984330499634692,0.0279906237562764,0.0173234262135959,1.6653345369377348e-16
development,0,4,1,0.5,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.7755575615628914e-16
development,0,4,1,0.5,4,correlon,2000,1000,64,0.0,0.9899555667122684,0.0649732466099991,0.9984188009806748,0.0281176014208628,0.0177886487388761,4.996003610813204e-16
development,0,4,1,0.5,4,cca_equivalent,2000,1000,64,0.0,0.9899555667122684,0.0649732466099991,0.9984188009806748,0.0281176014208628,0.0177886487388761,4.996003610813204e-16
development,0,4,1,0.5,4,block_diagonal,2000,1000,64,0.0,0.9999802941034198,0.0693709675078521,0.9977707703473008,0.0333858476955379,0.0103370943933958,1.310355602090275e-16
development,0,4,1,0.5,4,pca_rank_matched,2000,1000,64,0.0,0.9899555874613742,0.0649732457778548,0.9984188010225336,0.0281176010486875,0.0177886458763662,2.220446049250313e-16
development,0,4,1,0.5,4,random_rank_matched,2000,1000,64,0.0,0.9853111714020324,0.1061824797542437,0.995049811500799,0.0497503190904389,0.0143202580622982,2.220446049250313e-16
development,0,4,1,0.5,4,raw_svd,2000,1000,64,0.0,0.9899555667122688,0.0649732466099992,0.998418800980675,0.0281176014208628,0.0177886487388768,3.3306690738754696e-16
development,0,4,1,0.5,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.7755575615628914e-16
development,0,4,1,1.0,1,correlon,2000,1000,64,0.0,1.0193521603866027,0.0402891456023879,0.9991712170129124,0.0203566081050792,0.0144659316767003,3.8857805861880484e-16
development,0,4,1,1.0,1,cca_equivalent,2000,1000,64,0.0,1.0193521603866027,0.0402891456023879,0.9991712170129124,0.0203566081050792,0.0144659316767003,3.8857805861880484e-16
development,0,4,1,1.0,1,block_diagonal,2000,1000,64,0.0,1.0354766353355571,0.1264026538597688,0.9924268382689978,0.0615352002150078,0.0154222288778794,1.1102230246251563e-16
development,0,4,1,1.0,1,pca_rank_matched,2000,1000,64,0.0,1.076806734460803,0.1981177861493529,0.9772243935339784,0.1067136506404445,0.1158567145617963,2.7755575615628914e-16
development,0,4,1,1.0,1,random_rank_matched,2000,1000,64,0.0,0.9962989521398884,0.1854303849335747,0.98121491415961,0.0969151325655336,0.0219456972512363,5.551115123125784e-16
development,0,4,1,1.0,1,raw_svd,2000,1000,64,0.0,1.0196216596628969,0.0401066330425191,0.9991631350912824,0.0204556215832908,0.0143100385786488,4.996003610813204e-16
development,0,4,1,1.0,1,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,1,1.0,2,correlon,2000,1000,64,0.0,1.018462287004354,0.0456382048019598,0.9989842696398396,0.0225358643073701,0.0156696675522236,3.3306690738754696e-16
development,0,4,1,1.0,2,cca_equivalent,2000,1000,64,0.0,1.018462287004354,0.0456382048019598,0.9989842696398396,0.0225358643073701,0.0156696675522236,3.3306690738754696e-16
development,0,4,1,1.0,2,block_diagonal,2000,1000,64,0.0,1.0354766353355571,0.1264026538597688,0.9924268382689978,0.0615352002150078,0.0154222288778794,1.1102230246251563e-16
development,0,4,1,1.0,2,pca_rank_matched,2000,1000,64,0.0,1.1031692039780865,0.2125488983018249,0.974833785293808,0.1121744505361895,0.1657072805754003,2.220446049250313e-16
development,0,4,1,1.0,2,random_rank_matched,2000,1000,64,0.0,0.983391024745744,0.2297881287452637,0.9756683361347388,0.1102988301507797,0.0521139022065274,3.3306690738754696e-16
development,0,4,1,1.0,2,raw_svd,2000,1000,64,0.0,1.018711811467348,0.045223456388241,0.9989784934050084,0.0225998517140229,0.0152759747420629,2.7755575615628914e-16
development,0,4,1,1.0,2,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,1,1.0,4,correlon,2000,1000,64,0.0,1.0180869349776918,0.0473436235865469,0.9989002635913726,0.023449268737291,0.0137690102957361,3.3306690738754696e-16
development,0,4,1,1.0,4,cca_equivalent,2000,1000,64,0.0,1.0180869349776918,0.0473436235865469,0.9989002635913726,0.023449268737291,0.0137690102957361,3.3306690738754696e-16
development,0,4,1,1.0,4,block_diagonal,2000,1000,64,0.0,1.0354766353355571,0.1264026538597688,0.9924268382689978,0.0615352002150078,0.0154222288778794,1.1102230246251563e-16
development,0,4,1,1.0,4,pca_rank_matched,2000,1000,64,0.0,1.0180869558314154,0.0473436239238146,0.9989002635763612,0.0234492688973322,0.0137690088916665,3.3306690738754696e-16
development,0,4,1,1.0,4,random_rank_matched,2000,1000,64,0.0,1.0065127296624532,0.1296177626552334,0.993032185532905,0.0590246324304312,0.0188464428076706,2.220446049250313e-16
development,0,4,1,1.0,4,raw_svd,2000,1000,64,0.0,1.0180869349776895,0.0473436235865468,0.9989002635913726,0.0234492687372908,0.013769010295736,3.191891195797325e-16
development,0,4,1,1.0,4,full_state_oracle,2000,1000,64,0.0,1.0,0.0,1.0,0.0,0.0,2.220446049250313e-16
development,0,4,2,0.1,1,correlon,2000,1000,64,0.0,1.0099225770215745,0.0610889885245434,0.9986225720584944,0.0262433605080003,0.0050073731794472,1.9428902930940242e-16
development,0,4,2,0.1,1,cca_equivalent,2000,1000,64,0.0,1.0099225770215745,0.0610889885245434,0.9986225720584944,0.0262433605080003,0.0050073731794472,1.9428902930940242e-16
development,0,4,2,0.1,1,block_diagonal,2000,1000,64,0.0,1.0133606627989031,0.0455065801034536,0.9991420885979214,0.0207112457626121,0.0054529027021539,7.59248443659536e-17
