trial,search_mode,family,apparent_long_memory_score,finite_saturation_detected,nonstationarity_detected,grid_ceiling_only,detector_positive,ground_truth_is_hard_null,false_positive
0,random,N1_large_but_finite_AR,0.7705468414814046,True,False,False,False,True,False
1,random,N2_high_dimensional_SSM,0.5384875170700302,True,False,False,False,True,False
2,random,N3_many_exponential_kernel,0.9497723371177897,True,False,False,False,True,False
3,random,N4_slow_common_driver,0.6277943838506025,True,False,False,False,True,False
4,random,N5_nonstationary_drift,0.5889577093873202,False,True,False,False,True,False
5,random,N6_switching_regime,0.7964910410782049,False,True,False,False,True,False
6,random,N7_colored_noise,0.6744701334766362,True,False,False,False,True,False
7,random,N8_measurement_filter,0.9729875128960456,True,False,False,False,True,False
8,random,N1_large_but_finite_AR,0.7612839792953275,True,False,False,False,True,False
9,random,N2_high_dimensional_SSM,0.7311015688135055,True,False,False,False,True,False
10,random,N3_many_exponential_kernel,0.6050483386291577,True,False,False,False,True,False
11,random,N4_slow_common_driver,0.9240812226922281,True,False,False,False,True,False
12,random,N5_nonstationary_drift,0.8469795391979047,False,True,False,False,True,False
13,random,N6_switching_regime,0.730079934425753,False,True,False,False,True,False
14,random,N7_colored_noise,0.9253862951655153,True,False,False,False,True,False
15,random,N8_measurement_filter,0.5895905023150136,True,False,False,False,True,False
16,random,N1_large_but_finite_AR,0.6996525006365996,True,False,False,False,True,False
17,random,N2_high_dimensional_SSM,0.6457661442370564,True,False,False,False,True,False
18,random,N3_many_exponential_kernel,0.9072591856599719,True,False,False,False,True,False
19,random,N4_slow_common_driver,0.7060112855534408,True,False,False,False,True,False
20,random,N5_nonstationary_drift,0.7322864812910846,False,True,False,False,True,False
21,random,N6_switching_regime,0.9896966814736843,False,True,False,False,True,False
22,random,N7_colored_noise,0.8011421318475247,True,False,False,False,True,False
23,random,N8_measurement_filter,0.5663702534776202,True,False,False,False,True,False
24,random,N1_large_but_finite_AR,0.946549365125247,True,False,True,False,True,False
25,random,N2_high_dimensional_SSM,0.7723476838356784,True,False,False,False,True,False
26,random,N3_many_exponential_kernel,0.6734719149939767,True,False,False,False,True,False
27,random,N4_slow_common_driver,0.8812038769398804,True,False,False,False,True,False
28,random,N5_nonstationary_drift,0.6440655509903676,False,True,False,False,True,False
29,random,N6_switching_regime,0.921325136991023,False,True,False,False,True,False
30,random,N7_colored_noise,0.8937714033619691,True,False,False,False,True,False
31,random,N8_measurement_filter,0.845034377516497,True,False,False,False,True,False
32,random,N1_large_but_finite_AR,0.8740043325805373,True,False,False,False,True,False
33,random,N2_high_dimensional_SSM,0.6797574295850065,True,False,False,False,True,False
34,random,N3_many_exponential_kernel,0.7558407647657575,True,False,False,False,True,False
35,random,N4_slow_common_driver,0.7007760632372828,True,False,False,False,True,False
36,random,N5_nonstationary_drift,0.7322910736013153,False,True,False,False,True,False
37,random,N6_switching_regime,0.7904888546990265,False,True,False,False,True,False
38,random,N7_colored_noise,0.7059913136371826,True,False,False,False,True,False
39,random,N8_measurement_filter,0.8640691867467803,True,False,False,False,True,False
40,random,N1_large_but_finite_AR,0.8121465723220839,True,False,False,False,True,False
41,random,N2_high_dimensional_SSM,0.5920543258064944,True,False,False,False,True,False
42,random,N3_many_exponential_kernel,0.8546141558331607,True,False,False,False,True,False
43,random,N4_slow_common_driver,0.8309159670657061,True,False,False,False,True,False
44,random,N5_nonstationary_drift,0.7328045363222729,False,True,False,False,True,False
45,random,N6_switching_regime,0.6654350289097803,False,True,False,False,True,False
46,random,N7_colored_noise,0.8260520666715974,True,False,False,False,True,False
47,random,N8_measurement_filter,0.7699891322537132,True,False,False,False,True,False
48,random,N1_large_but_finite_AR,0.6462159941845874,True,False,False,False,True,False
49,random,N2_high_dimensional_SSM,0.9239454246305954,True,False,False,False,True,False
50,random,N3_many_exponential_kernel,0.7822815049138958,True,False,False,False,True,False
51,random,N4_slow_common_driver,0.5804552055200337,True,False,False,False,True,False
52,random,N5_nonstationary_drift,0.6819130430238385,False,True,False,False,True,False
53,random,N6_switching_regime,0.8416078146416954,False,True,False,False,True,False
54,random,N7_colored_noise,0.6265777715579673,True,False,False,False,True,False
55,random,N8_measurement_filter,0.7189072932368255,True,False,False,False,True,False
56,random,N1_large_but_finite_AR,0.8887238138297537,True,False,False,False,True,False
57,random,N2_high_dimensional_SSM,0.5976681917882941,True,False,False,False,True,False
58,random,N3_many_exponential_kernel,0.6802572183638425,True,False,False,False,True,False
59,random,N4_slow_common_driver,0.62934725851518,True,False,False,False,True,False
60,random,N5_nonstationary_drift,0.8886693485028866,False,True,False,False,True,False
61,random,N6_switching_regime,0.5774450591043981,False,True,False,False,True,False
